,city,latt,longt
171,Örebro,59.27058,15.200470000000001
172,Oslo,59.91553,10.76853
173,Frederikshavn,57.441930000000006,10.5107
174,Aalborg,57.03588000000001,9.93154
175,Aarhus,-35.28165,149.12837
176,Nørresundby,57.10508000000001,9.96019
177,Vejle,55.71058000000001,9.544
178,Kolding,55.49325,9.47957
179,Flensburg,54.78766,9.44185
180,Hamburg,53.56406,10.00991
181,Hanover,41.76969,-72.44079
182,Berlin,52.50135,13.404520000000002
183,Lübeck,53.8667,10.7
184,Göttingen,51.55264,9.94648
185,Bad Oeynhausen,52.21794000000001,8.80064
186,Braunschweig,52.26893,10.52359
187,Kassel,51.31303,9.47775
188,Fulda,50.55232,9.66651
189,Würzburg,49.7685,9.9382
190,Nuremberg,49.4741,11.1296
191,Ulm,48.41968,9.99677
192,Munich,48.14323,11.55782
193,Heilbronn,49.14619,9.19981
194,Rozvadov,49.66756,12.59014
195,Bayreuth,49.94059,11.57875
196,Regensburg,49.01458,12.10011
197,Rosenheim,47.85113,12.11393
198,Salzburg,47.7994,13.044
199,Lindau,47.44456,8.684660000000001
200,Deggendorf,48.84054,12.95537
201,Garmisch-Partenkirchen,47.46961,11.05092
202,Braunau am Inn,48.25442,13.04164
203,Wörgl,47.4891,12.0617
204,Bad Reichenhall,47.72752,12.8819
205,Innsbruck,47.26996,11.39483
206,St. Johann in Tirol,47.51515,12.43215
207,Brenner,46.95426,11.43536
208,Telfs,47.31094,11.08385
209,Lauterach,47.4743,9.71791
210,Imst,47.23134,10.725
211,Seefeld,47.3302,11.1879
212,Fortezza,46.79616,11.57332
213,Bolzano,46.49324,11.34759
214,Innichen,46.73356,12.29673
215,Trento,46.06936,11.11978
216,Mestre,45.49133,12.22246
217,Cesena,44.14,12.24462
218,Perugia,43.12244000000001,12.46341
219,Ravenna,44.40897,12.20664
220,Rimini,44.05025,12.55246
221,Fiano Romano,42.16213,12.59581
222,Naples,40.854,14.24087
223,Salerno,40.67481,14.78399
224,Avellino,40.91605,14.79323
225,Sicignano degli Alburni,40.57289,15.30708
226,Cosenza,39.3037,16.25327
227,Potenza,40.76612,16.04127
228,Villa San Giovanni,38.2241,15.64334
229,Crotone,39.08036,17.10661
230,Messina,38.18914,15.5257
231,Catania,37.50883,15.07708
232,Palermo,38.13124000000001,13.34373
233,Siracusa,37.05489,15.25845
234,Enna,37.55245,14.27949
235,Gela,37.07527,14.24325
236,Mazara del Vallo,37.65985,12.59679
237,Helsingør,56.0354,12.5699
238,Copenhagen,55.68189,12.5458
239,Køge,55.45923000000001,12.18672
240,Malmö,55.58773000000001,13.02128
241,Esbjerg,55.4828,8.447339999999999
242,Vordingborg,55.02484000000001,11.91995
243,Farø,37.05846,-7.974189999999999
244,Nykøbing Falster,54.76686,11.87792
245,Rødby,54.698130000000006,11.39001
246,Gedser,54.58634,11.94099
247,Rostock,54.11227,12.11443
248,Sassnitz,54.51796,13.629
249,Lübbenau,51.85805,13.953029999999998
250,Szczecin,53.42676,14.57075
251,Świebodzin,52.24916,15.52769
252,Magdeburg,52.12885,11.62537
253,Leipzig,51.33997,12.37683
254,Neubrandenburg,53.5544,13.2635
255,Dresden,51.05172,13.765770000000002
256,Cottbus,51.75511,14.34024
257,Ústí nad Labem,50.65115,14.05623
258,Chemnitz,50.82369,12.90448
259,Görlitz,51.14538,14.97306
260,Prague,50.06899,14.45367
261,Tábor,49.41003,14.67259
262,Mladá Boleslav,50.41672,14.90533
263,Jihlava,49.4015,15.59605
264,Plzeň,49.73868,13.382879999999998
265,Karlovy Vary,50.2293,12.8608
266,Hradec Králové,50.20642,15.83594
267,Linz,48.3064,14.2861
268,Sattledt,48.07378,14.05434
269,Sankt Pölten,48.2044,15.62291
270,Wels,48.16771,14.021070000000002
271,Villach,46.61348,13.85268
272,Lofer,47.59548,12.69469
273,Tarvisio,46.49977,13.620829999999998
274,Karavanke Tunnel,-41.19166,147.15737
275,Spittal an der Drau,46.80361,13.49406
276,Klagenfurt,46.62282,14.30796
277,Udine,46.06791,13.24012
278,Palmanova,45.90738,13.31856
279,Trieste,45.65504,13.789270000000002
280,Fano,43.8255,13.01063
281,Ancona,43.59619,13.50596
282,Sansepolcro,43.58023,12.14171
283,Canosa di Puglia,41.22209,16.0649
284,Bari,41.13731,16.86095
285,Benevento,41.13262,14.77666
286,Brindisi,40.63413,17.931070000000005
287,Taranto,40.45631,17.25666
288,Igoumenitsa,39.51638,20.27681
289,Preveza,39.06319000000001,20.73178
