id,name,citations
56240031700,Kozłowski Marek A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=56240031700&origin=inward
6602093647,Kabsch-Korbutowicz Małgorzata,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602093647&origin=inward
9433957200,Kasperski Adam,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=9433957200&origin=inward
6701680061,Sznajd-Weron Katarzyna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701680061&origin=inward
6602624339,Kotulska MaŁgorzata,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602624339&origin=inward
8939095000,MacIejewska Monika,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8939095000&origin=inward
6601986949,Grzech Adam Piotr,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6601986949&origin=inward
8678738100,Sieradzki Adam,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8678738100&origin=inward
6603068036,Kasprowicz Magdalena,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603068036&origin=inward
7003862679,Cieślak-Golonka Maria,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003862679&origin=inward
7003602910,Mucha Artur,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003602910&origin=inward
35619216100,Kotowski Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=35619216100&origin=inward
6506165410,Markowska-Kaczmar Urszula,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6506165410&origin=inward
6701511885,Majewska-Nowak Katarzyna M.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701511885&origin=inward
8946561800,Zizovic Irena T.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8946561800&origin=inward
7003634778,Kuchta Dorota,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003634778&origin=inward
35603785200,Narbudowicz A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=35603785200&origin=inward
10739384500,Poźniak-Koszałka Iwona,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=10739384500&origin=inward
24339888800,Wełna Maja,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=24339888800&origin=inward
7003705304,Mendrela Ernest A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003705304&origin=inward
7003467379,Kmiec̀ Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003467379&origin=inward
8987721700,Szymczycha Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8987721700&origin=inward
6603518033,Wierzbowska Bogusława,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603518033&origin=inward
6506548017,Wołczowski Andrzej R.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6506548017&origin=inward
7003285052,Peczyńska-Czoch Wanda,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003285052&origin=inward
6601969480,Radosz Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6601969480&origin=inward
55923677500,Matczak-Jon Ewa,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55923677500&origin=inward
38662052300,Werbińska-Wojciechowska Sylwia,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=38662052300&origin=inward
12780126700,Szyszka Adam,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=12780126700&origin=inward
7005723351,Sokołowski Adam,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7005723351&origin=inward
7401913014,Hoffmann Krystyna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7401913014&origin=inward
6701396868,Dobrucki Andrzej B.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701396868&origin=inward
6602362557,Biskupski Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602362557&origin=inward
36149055300,Witek-Krowiak Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=36149055300&origin=inward
7102883253,Woźniak Władysław A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7102883253&origin=inward
8919294300,Pezowicz Celina A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8919294300&origin=inward
8247907800,Ortyl Ewelina,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8247907800&origin=inward
6701913052,Gancarz Irena S.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701913052&origin=inward
6701493295,Charewicz Witold A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701493295&origin=inward
6602726468,Sobolewska Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602726468&origin=inward
55977342300,Ambroziak Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55977342300&origin=inward
6603595900,Bartecki Adam M.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603595900&origin=inward
6701851063,Przylibski Tadeusz Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701851063&origin=inward
6603020693,Maliszewska Irena H.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603020693&origin=inward
55935282100,PopioŁek-Masajada Agnieszka,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55935282100&origin=inward
24475792200,Statkiewicz-Barabach Gabriela,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=24475792200&origin=inward
6603090292,Górecka Helena,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603090292&origin=inward
