id,label,department,orcid,disciplines,publications,citations,impact_factor,supervisorships
452050,Marta Fiedot-Toboła,W03,0000-0001-7094-7003,[],101,45,42.979,0
600080,Jan Macioszczyk,W12,Nieznane,[],37,6,11.663,0
437230,Piotr M. Markowski,W12,0000-0001-8366-0212,"['automatyka', 'elektronika i elektrotechnika']",64,49,9.702,0
462380,Damian Nowak,W12,0000-0003-0312-4431,"['automatyka', 'elektronika i elektrotechnika']",54,61,16.287,0
600246,Dariusz Przybylski,W12,0000-0001-7228-4178,"['automatyka', 'elektronika i elektrotechnika']",21,0,1.438,0
312127,Henryk Roguszczak,W12,Nieznane,[],80,0,10.813,0
034964,Helena Teterycz,W12,0000-0002-5598-2983,"['automatyka', 'elektronika i elektrotechnika']",347,373,87.065,2
903456,Monika Lenartowicz,W12,Nieznane,[],4,0,0,0
600403,Witold J. Nawrot,W12,0000-0001-8135-5337,"['automatyka', 'elektronika i elektrotechnika']",24,4,6.902,0
903291,Paweł Osypiuk,Nieznane,Nieznane,[],3,0,2.597,0
042000,Eugeniusz Prociów,W12,Nieznane,[],301,278,46.747,0
452040,Olga Rac-Rumijowska,W12,0000-0002-8740-6817,"['automatyka', 'elektronika i elektrotechnika']",108,43,45.319,0
460970,Patrycja M. Suchorska-Woźniak,W12,0000-0001-9246-0722,[],82,59,39.067,0
343926,Maciej Małachowicz,W01,0000-0001-9238-0263,['architektura i urbanistyka'],99,0,0,0
430730,Mateusz Zając,W10,0000-0001-7199-9163,['inżynieria mechaniczna'],118,107,0,0
801847,Justyna Świeboda,W10,0000-0001-6329-3056,[],34,0,0,0
801917,Michał Święciak,W01,Nieznane,[],15,0,0,0
600021,Weronika Urbańska,W07,Nieznane,[],30,1,1.241,0
801427,Ewelina Stelmach,Nieznane,Nieznane,[],16,0,34.420,0
476200,Przemysław P. Jaszak,W09,0000-0003-2724-178X,['inżynieria mechaniczna'],60,0,3.818,0
405560,Krzysztof Zymonik,W08,0000-0002-4234-1730,['nauki o zarządzaniu i jakości'],63,0,0,0
338098,Anna Dobrowolska,W08,0000-0001-9562-7954,['nauki o zarządzaniu i jakości'],67,1,0,0
488480,Beata Grabowska,W09,0000-0002-3226-1120,"['inżynieria środowiska', 'górnictwo i energetyka']",46,1,7.184,0
017529,Krzysztof Jesionek,PRD,0000-0001-5892-8280,['inżynieria mechaniczna'],337,16,5.226,4
903784,Mateusz Popek,W02,Nieznane,[],5,0,3.485,0
903467,Dariusz Kunderman,W10,Nieznane,[],1,0,0.816,0
600065,Urszula Warzyńska,W10,Nieznane,[],33,32,4.589,0
106232,Andrzej Siemiński,W08,0000-0001-6273-8391,['informatyka techniczna i telekomunikacja'],85,20,3.063,0
145307,Jerzy Grobelny,W08,0000-0001-9791-9395,['nauki o zarządzaniu i jakości'],151,116,14.959,4
