id,name,citations,citation_count,Wydzial,Katedra
6701417491,Sołoducho Jadwiga,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701417491&origin=inward,5649,Unknown,Unknown
7004155017,Matynia Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7004155017&origin=inward,1154,W03,Katedra Inżynierii i Technologii Procesów Chemicznych
56835277200,Szczurek Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=56835277200&origin=inward,1941,W07,"Katedra Klimatyzacji, Ogrzewnictwa, Gazownictwa i Ochrony Powietrza"
35784693200,Kasprzak Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=35784693200&origin=inward,665,W04,Katedra Systemów i Sieci Komputerowych
6602325983,Weron Aleksander,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602325983&origin=inward,4691,W13,Katedra Matematyki Stosowanej
6506213586,Sówka Izabela,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6506213586&origin=inward,2246,W07,Katedra Inżynierii Ochrony Środowiska
7004657104,Bryjak Jolanta,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7004657104&origin=inward,6358,W03,Katedra Inżynierii Procesowej i Technologii Materiałów Polimerowych i Węglowych
6506142390,Wodecki Mieczysław,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6506142390&origin=inward,1878,W04,Katedra Telekomunikacji i Teleinformatyki
8558991300,WymysŁowski Artur,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8558991300&origin=inward,870,Unknown,Unknown
6701314748,Teterycz Helena,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701314748&origin=inward,3023,W12,Katedra Mikrosystemów
10046014500,Gładysiewicz Marta,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=10046014500&origin=inward,2800,Unknown,Unknown
57204053924,Saeid Agnieszka,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=57204053924&origin=inward,3023,W03,Katedra Zaawansowanych Technologii Materiałowych
56240031700,Kozłowski Marek A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=56240031700&origin=inward,2182,Unknown,Unknown
6602093647,Kabsch-Korbutowicz Małgorzata,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602093647&origin=inward,3560,W07,Katedra Inżynierii Ochrony Środowiska
9433957200,Kasperski Adam,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=9433957200&origin=inward,1608,W08,Katedra Badań Operacyjnych i Inteligencji Biznesowej
6701680061,Sznajd-Weron Katarzyna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701680061&origin=inward,5053,Unknown,Unknown
6602624339,Kotulska MaŁgorzata,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602624339&origin=inward,2162,Unknown,Unknown
8939095000,MacIejewska Monika,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8939095000&origin=inward,1599,Unknown,Unknown
6601986949,Grzech Adam Piotr,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6601986949&origin=inward,584,Unknown,Unknown
8678738100,Sieradzki Adam,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8678738100&origin=inward,2607,W11,Katedra Fizyki Doświadczalnej
6603068036,Kasprowicz Magdalena,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603068036&origin=inward,5729,W11,Katedra Inżynierii Biomedycznej
7003862679,Cieślak-Golonka Maria,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003862679&origin=inward,4044,Unknown,Unknown
7003602910,Mucha Artur,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003602910&origin=inward,7526,W03,Katedra Chemii Bioorganicznej
35619216100,Kotowski Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=35619216100&origin=inward,544,W07,Katedra Wodociągów i Kanalizacji
6506165410,Markowska-Kaczmar Urszula,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6506165410&origin=inward,796,W08,Katedra Inteligencji Obliczeniowej
6701511885,Majewska-Nowak Katarzyna M.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6701511885&origin=inward,2830,W07,Katedra Inżynierii Ochrony Środowiska
8946561800,Zizovic Irena T.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8946561800&origin=inward,4647,Unknown,Unknown
7003634778,Kuchta Dorota,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003634778&origin=inward,2868,W08,Katedra Systemów Zarządzania i Rozwoju Organizacji
35603785200,Narbudowicz A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=35603785200&origin=inward,1076,W04,Katedra Telekomunikacji i Teleinformatyki
10739384500,Poźniak-Koszałka Iwona,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=10739384500&origin=inward,485,Unknown,Unknown
24339888800,Wełna Maja,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=24339888800&origin=inward,3056,W03,Katedra Chemii Analitycznej i Metalurgii Chemicznej
7003705304,Mendrela Ernest A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003705304&origin=inward,1134,Unknown,Unknown
7003467379,Kmiec̀ Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003467379&origin=inward,1701,Unknown,Unknown
8987721700,Szymczycha Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=8987721700&origin=inward,3668,Unknown,Unknown
6603518033,Wierzbowska Bogusława,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603518033&origin=inward,1001,Unknown,Unknown
6506548017,Wołczowski Andrzej R.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6506548017&origin=inward,984,W04,Katedra Cybernetyki i Robotyki
7003285052,Peczyńska-Czoch Wanda,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003285052&origin=inward,3666,Unknown,Unknown
6601969480,Radosz Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6601969480&origin=inward,610,W11,Katedra Technologii Kwantowych
55923677500,Matczak-Jon Ewa,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55923677500&origin=inward,3170,W03,Katedra Chemii Nieorganicznej i Strukturalnej
38662052300,Werbińska-Wojciechowska Sylwia,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=38662052300&origin=inward,691,W10,Katedra Eksploatacji Systemów Technicznych
