Authors,Link
"Sun Y., Wang C., Wang W., Yang X., Di Serio M., Zhi L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962863867&doi=10.1007%2fs11743-016-1801-3&partnerID=40&md5=58d2fa4b3b9a7b70274255ee673f804a"
"Phua J.-L., Teh P.-L., Ghani S.A., Yeoh C.-K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969746080&doi=10.1515%2fpolyeng-2015-0026&partnerID=40&md5=8566cf17d34cbe1e166dce6d8367ebb2"
"El Hasnaoui M., Abazine K., Achour M.E., Costa L.C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979753517&partnerID=40&md5=a62b5098c8261b7d7e85940913063334"
"Xing C., Wang Y., Huang X., Li Y., Li J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958020044&doi=10.1021%2facs.macromol.5b02429&partnerID=40&md5=86d2b839a2b01fe46686bdab46897ceb"
"Zhang Y., Li Y., Song Y., Li J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956680910&doi=10.1007%2fs00396-015-3771-9&partnerID=40&md5=0951cf7e16d771a3f79893c6a135209e"
"Saji J., Khare A., Mahapatra S.P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954308125&doi=10.1177%2f0954008314568729&partnerID=40&md5=59f49790e4bd8747ca143a8c4f739f4b"
"Kopczyński K., Baraniak M., Pernak J., Giszter R., Fryder M., Lota G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992396646&partnerID=40&md5=000a6090edf7ec4be33a84d738eccaee"
"Lota G., Baraniak M., Kopczynski K., Pernak J., Przybylo H., Majchrzycki W.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992388334&partnerID=40&md5=46aca6d028a8eb3c2210b2c1d18d973a"
"Seki Y., Yıldız N., İnce M., Şengül S., Sever K., Sarıkanat M., Dikici T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981165837&doi=10.1080%2f14658011.2016.1201258&partnerID=40&md5=cf0ab59877b7b5ce5dba2aca48ea450b"
[No author name available],"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991396761&doi=10.1149%2f07515.0215ecst&partnerID=40&md5=02bdca8fff8bd06f7e8f5d3cb6e67361"
"Fetouhi B., Belarbi H., Benabdellah A., Kasmi-Mir S., Kirsch G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959497975&partnerID=40&md5=55ac48e7fe34e5097108923d0bbf6bde"
"Depuydt D., Van Den Bossche A., Dehaen W., Binnemans K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957043765&doi=10.1039%2fc5ra22798d&partnerID=40&md5=f785276ea2c064bece5ab01c0649a863"
"Ismail A.M., Mahmoud K.R., Abd-El Salam M.H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942420735&doi=10.1016%2fj.polymertesting.2015.09.006&partnerID=40&md5=a87d29688a1b21bdf08499f1f817d51e"
"Li F., Zhang Q., Pan D., Lin M., Kang Q.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929839263&doi=10.1007%2fs11581-014-1312-z&partnerID=40&md5=09ec7e50851ec8d0950daf77bf15b049"
