Author(s) ID,Link
"6507257433;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745225590&doi=10.3934%2fdcds.2006.15.143&partnerID=40&md5=e35b822f0f5e9a8997e261cd35fc77d7"
"23567484100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034346502&doi=10.1080%2f07362990008809655&partnerID=40&md5=f185b9d8f494744572db97a7fb238726"
"23567484100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033181502&doi=10.1007%2fs002459900119&partnerID=40&md5=0090f5790ce9e272394834d1473c3567"
