Author(s) ID,Link
"15058218600;56453265000;56730980400;57209092366;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937604949&doi=10.1109%2fFIT.2014.14&partnerID=40&md5=9e54d576a75c67f8cc8a12163990f866"
"6602892081;56820305300;23571055100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60749094546&doi=10.1080%2f01969720802634097&partnerID=40&md5=d0c0d730a3e0fcfa60fafa9817437f8d"
"6602892081;56820305300;23571055100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-48249097879&doi=10.1007%2f978-3-540-69052-8_17&partnerID=40&md5=8190b65f65668b6c0d97c4b72180ec67"
