Author(s) ID,Link
"55488558800;23995577700;56553745900;15029920800;57212604080;23996203400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077209274&doi=10.1016%2fj.jhydrol.2019.124512&partnerID=40&md5=5670ce825f3ea72006d2fb274d7d1620"
"57188743912;57205632814;6603144384;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082040967&doi=10.1109%2fACCESS.2020.2978283&partnerID=40&md5=df053140742f42684b42bb8e11146813"
"56288615800;36608212500;24468984100;16043080700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081566099&doi=10.1108%2fEC-05-2019-0242&partnerID=40&md5=5c30f783a7751352e37fb33e06282881"
"57214455691;57214447599;57214762786;56310627600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079066149&doi=10.1109%2fROBIO49542.2019.8961625&partnerID=40&md5=9f8db8a6f8262937f4f5ac66d82afe80"
"15120050200;57211297569;57211299953;57211287338;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073382202&doi=10.3390%2felectronics8091006&partnerID=40&md5=94275afcb7873b01ea97a70995a8874f"
"57053091800;14045394700;57192165066;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065958948&doi=10.1109%2fLATW.2019.8704637&partnerID=40&md5=74ee97affb4cad748e86bf057945cc0c"
"6603095625;57204501208;57204499347;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065587713&doi=10.1088%2f1742-6596%2f1203%2f1%2f012074&partnerID=40&md5=f95d167a3f05e6733cf2e1b3c8d9bca9"
"57212704344;15018992900;6506249752;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018476925&doi=10.1007%2fs11633-017-1062-2&partnerID=40&md5=f9f3933e20b6c0188d478c4b7a003cf1"
"23393773400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062889105&doi=10.1049%2fel.2018.7980&partnerID=40&md5=206226629e199333060842ad3d5c3399"
"55443227300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047837418&doi=10.1109%2fTITS.2018.2836141&partnerID=40&md5=c38395fad1d3b0001880d3bc7ef2b036"
"6504416177;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064194005&doi=10.2478%2famcs-2019-0012&partnerID=40&md5=dcff98105956b03f175da0b03ce5f28f"
"55005560500;56893337800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063014300&doi=10.1109%2fACSSC.2018.8645376&partnerID=40&md5=aac80025af1ab8a1683145895b5e45b8"
"23093703600;24282075600;55927757900;55255321000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019253391&doi=10.1007%2fs00521-017-3002-z&partnerID=40&md5=da4f212586f9aec9736dac105401f08e"
"23393773400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066743079&doi=10.1007%2f978-3-030-20912-4_21&partnerID=40&md5=9f198387dd46557bfb967ae248b2517b"
"24338449800;25121797400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066741931&doi=10.1007%2f978-3-030-20912-4_11&partnerID=40&md5=838b7cac92ca293fc801de40383d11fd"
"6506052045;57202360098;7003680127;15744077100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048031016&doi=10.1007%2f978-3-319-91446-6_13&partnerID=40&md5=626aaf70cf2a314beeff69cc1a840ca6"
"6603095625;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068591740&doi=10.1007%2f978-3-030-22796-8_36&partnerID=40&md5=a8f4adb2938d808569a8743578f60040"
"55749138000;35281296800;7003687617;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067342133&doi=10.31436%2fiiumej.v20i1.997&partnerID=40&md5=0c9237d37303ef8974761cbda2efd197"
"36072333100;57207304143;7404403605;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063872371&doi=10.3390%2finfo10020076&partnerID=40&md5=00956e87b341687a03a000f4562696b9"
