Author(s) ID,Link
"24330408000;57211764198;57203091121;57190511145;56479563000;37014843400;12765168400;7202850179;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050492123&doi=10.1002%2fcctc.201800671&partnerID=40&md5=62f30f0b880b7e1c69d8465aa1d2d217"
"57194056819;55587682000;7404181306;8533583300;56071853500;57192198904;55155699500;57203175401;57200911402;56572257900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054520533&doi=10.1039%2fc8cy01060a&partnerID=40&md5=7c94f974a6671a2faeca99b33d845d59"
"55508907800;57195281257;35586881400;26221500700;6602173367;55989778300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026757303&doi=10.1016%2fj.apcatb.2017.07.079&partnerID=40&md5=3426d819141b42e600d895c17c040b13"
"7407147388;57192193544;57192398760;55740568800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006124915&partnerID=40&md5=070eb035b91687229148ab5d457e9055"
"15071464600;16023940200;6505982546;56122017000;57189072490;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965058545&doi=10.1007%2fs10934-016-0193-0&partnerID=40&md5=e84edbbadc41a70ca14102335cc7221a"
"56166306400;22433562500;6602720516;7003595471;7202608150;7003810751;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948655913&doi=10.1016%2fj.molcata.2015.11.012&partnerID=40&md5=bf9e6484562fdf9af5a413f67c97b14e"
"55550601400;6602623591;55993632200;9637892300;7202386196;55207276800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959258868&doi=10.1155%2f2016%2f4047874&partnerID=40&md5=3fb6b43b1143a5e80d850474cb5ff56a"
"56609567800;57190671260;7403187763;7403734509;8548292800;7407757550;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982161811&doi=10.1039%2fc6ra15230a&partnerID=40&md5=a1dc861478a2917c95ce2264e626c38d"
"56202602100;35237013100;56201926600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943359114&doi=10.1007%2fs11814-014-0319-5&partnerID=40&md5=7c2ce7d45b5b081310d938746e7681c7"
"56404934200;55587682000;8533583300;56071853500;36017917100;23135220300;55705865900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908611623&doi=10.1039%2fc4ta03691c&partnerID=40&md5=4de2a2822ea9cbd6907cc6b5ad3b56e5"
"57206531904;6603959198;6701635204;23486720800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899005916&doi=10.1021%2fef402529k&partnerID=40&md5=792ec9dbbbf0c06b66ffb3e1ba280451"
"57197289316;55471250600;19638911100;7404455558;12796539200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898719035&doi=10.5935%2f0103-5053.20140035&partnerID=40&md5=ce916c7d63257256a80dfb7a22187e83"
"56338424200;56338313700;36163939300;55339480400;51560889000;55279232600;6603582158;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906540211&doi=10.1021%2fcm502035s&partnerID=40&md5=c776c4d20025b8cddbca4698286a8996"
"47962674200;35580849900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901451123&doi=10.1016%2fj.fuproc.2014.05.006&partnerID=40&md5=e26fdff8d8deeb008e202f54ddbb2eaf"
"57212425742;35580849900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878363877&doi=10.1016%2fj.fuel.2012.11.030&partnerID=40&md5=49838310ebcf46833a9f9bba95e57db2"
"55508907800;6508059223;6701521164;55512548100;57196409672;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872620784&doi=10.1007%2fs10562-012-0933-y&partnerID=40&md5=cef8163a4367ef5127c7e5f6fb8ddf57"
"35304563900;35305484100;56053406500;17343309300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875494551&doi=10.1016%2fj.fuel.2012.12.012&partnerID=40&md5=1c55e7424139077e16040d008a3190b8"
"57191094323;23470934700;6603959198;7102925688;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869491702&doi=10.1016%2fj.cattod.2012.05.035&partnerID=40&md5=231e77ffdc47430042e363f19b8632f5"
"24330408000;57192451813;7202850179;7403489871;7401551830;7404977977;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870154333&doi=10.1021%2fla303187d&partnerID=40&md5=95504e2ee656e760a8687d96c6487d63"
"16023940200;15071464600;6701499397;6505982546;55336517400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864989975&doi=10.1039%2fc2jm32941g&partnerID=40&md5=c52c443e372ba07b31d4cd3af66260cb"
"55437234400;55720702400;55418741300;56979563400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867926243&doi=10.3724%2fSP.J.1088.2012.20330&partnerID=40&md5=e729a3e2cdd3e33dc5d21223e4180f91"
"7404990014;36761841600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863726924&doi=10.1016%2fj.apcata.2012.05.032&partnerID=40&md5=6f4b2ae82ea78751c155bcf9e417aa30"
"55180265300;8244864900;55553728357;55093539500;55180282100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859614865&doi=10.1016%2fj.catcom.2012.03.002&partnerID=40&md5=eaa06f7dffe27d1dbb0ac6bf5c94226d"
"35095967300;14219742500;57203466484;57191407943;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860220880&doi=10.1016%2fj.cattod.2011.08.011&partnerID=40&md5=694ec400fa3dd1e1644429d0c277bd78"
"24367784700;26434832600;52663504300;57191094323;57206531904;14050941300;6603959198;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855597294&doi=10.1021%2fcs200385y&partnerID=40&md5=281058956e80095f119f6fb48aff0991"
"13805672600;34979453200;7401480309;16305852600;57199359118;55723554600;55267942300;47061715600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863063914&partnerID=40&md5=7a36391f9f8a45ce43f0d96aa26e6a0c"
"36925124600;7004898282;7003861604;26535241000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054042443&doi=10.1016%2fj.cattod.2011.01.013&partnerID=40&md5=a54fe62887704a1502fad29e7cc35d64"
"26634562600;6602339461;42261622400;36992901100;16425856400;57204141855;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959988983&partnerID=40&md5=f583087610447764ae6ba8d7d082495a"
"23097961200;56504332000;35235421800;14029741800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960111049&partnerID=40&md5=8ad2bf2228cd3d93a15c7c054ea3cacd"
"55687204300;7402432951;56335747500;7202850179;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952535450&doi=10.1016%2fj.fuel.2011.01.009&partnerID=40&md5=4d850bc3901a8f3f14bb95159c54e4e1"
"36931899500;34979453200;7401480309;57199359118;36068003900;55723554600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751617184&doi=10.1016%2fj.jallcom.2010.12.119&partnerID=40&md5=4da211c01022ec50d8d3e23057429681"
"24330408000;57198703996;11939839700;55712527800;56004308500;57192451813;7401551830;7404977977;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055043378&doi=10.1039%2fc1nj20146h&partnerID=40&md5=464297e6a2f476cf7a3e7134be261cd1"
