Author(s) ID,Link
"6508332481;6507646399;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026211702&partnerID=40&md5=f0e221a0c25b69c8ec193c0e9d3a7f8d"
"35577992700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081304281&partnerID=40&md5=a13e95ebc3073e5298338ac501944077"
"6508332481;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013498103&partnerID=40&md5=9a2843688ca06120d27ec8a2715816c1"
"6508332481;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013391515&partnerID=40&md5=926e3a642f0f57c36145a02f96ce3d65"
