Author(s) ID,Link
"57203249001;57203244102;56103633100;57189491936;57189499741;56861417700;57202148308;56796934400;10039573200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067863520&doi=10.1016%2fj.tetlet.2019.06.052&partnerID=40&md5=1a9e655273e5264e336e9d009872b143"
"57189499741;57192985833;56861417700;56103633100;57190310906;56673077600;7403872165;10039573200;56796934400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009814701&doi=10.1016%2fj.bmcl.2017.01.008&partnerID=40&md5=fdad5a08ace83aa194178773ee9022ba"
