Authors,Link
"Xu K., Darve E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080949651&doi=10.1016%2fj.cma.2020.112936&partnerID=40&md5=92183e5d5b5bb7af3c459b726bb5b9b7"
"Bogdan K., Grzywny T., Pietruska-Pałuba K., Rutkowski A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072075147&doi=10.1016%2fj.matpur.2019.09.005&partnerID=40&md5=2adadb63f12ad4fafbd5d5254a2e4250"
"Xu Y., Li J., Chen X., Pang G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074472560&doi=10.1016%2fj.camwa.2019.10.013&partnerID=40&md5=7fb77dc1755996a67dcf228923057a7d"
"Foghem Gounoue G.F., Kassmann M., Voigt P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065840993&doi=10.1016%2fj.na.2019.04.003&partnerID=40&md5=0e0c3029e1d5a5ff8a90645b3bbed953"
"Bogdan K., Jarohs S., Kania E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065604754&doi=10.1016%2fj.na.2019.04.011&partnerID=40&md5=ee66b45fb819c171e41c429ac3190f83"
"Bucur C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079705569&doi=10.1007%2fs00526-020-1698-6&partnerID=40&md5=6ea9bfc4b1426fe26d7bb3fc56363147"
"Lenzmann E., Schikorra A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057227868&doi=10.1016%2fj.na.2018.10.017&partnerID=40&md5=b16245a046ea62dce6f1f41abaa0d55f"
"Fall M.M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051126902&doi=10.1016%2fj.na.2018.07.008&partnerID=40&md5=ea08f8d487781eb1a5f7e344b4bdbd1e"
"Saker S., Kenawy M., AlNemer G., Zakarya M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082413901&doi=10.3390%2fmath8030434&partnerID=40&md5=db9346b9d8da8e322adcf2fa18d75d98"
"Lischke A., Pang G., Gulian M., Song F., Glusa C., Zheng X., Mao Z., Cai W., Meerschaert M.M., Ainsworth M., Karniadakis G.E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076562953&doi=10.1016%2fj.jcp.2019.109009&partnerID=40&md5=e83cf3a2fefd1b72d56d89365cee9589"
