Author(s) ID,Link
"57200315488;57210789718;57216638913;41661280700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084120836&doi=10.1002%2fadsc.202000300&partnerID=40&md5=63355867961f051f617ea240dfa5a58d"
"57195544392;55621007600;57193056815;6602642676;14050659400;7003938808;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076418726&doi=10.1038%2fs41598-019-55531-x&partnerID=40&md5=c6181e8da2b67a7e2c16574a7da1d3d7"
"57211958189;57189063593;7003656288;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074404175&doi=10.1515%2fhsz-2019-0332&partnerID=40&md5=c95381bd5c1d274e4a97f6f1e99ef79d"
