Authors,Link
"Morawiec M., Strankowski P., Lewicki A., Guzinski J., Wilczynski F.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079757383&doi=10.1109%2fTIE.2019.2931236&partnerID=40&md5=861826ea33e7d3d77d1145128998aeb4"
"Gajewski P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083859231&doi=10.15199%2f48.2020.04.26&partnerID=40&md5=c46ab3826aa0a180eabfad63fc995540"
"Soman A., Holmukhe R., Bharadwaj D.G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078772393&partnerID=40&md5=df3a009e118969ad11a16fb14cbf0f31"
"Soman A., Holmukhe R., Bharadwaj D.G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078821809&partnerID=40&md5=08a88525d0ba008f76c9dec0b2b06898"
"Khlifi M.A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081316537&doi=10.1080%2f03772063.2020.1733443&partnerID=40&md5=c52b5c8b436288d061b662328b9c4af4"
"Roy R.G., Ghoshal D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077611664&doi=10.1108%2fEC-03-2019-0088&partnerID=40&md5=6693564a218d8dff336b0c32156c6eb7"
"Khadar S., Ali T.B., Benguesmia H., Fadhila M., Kouzou A., Rezaoui M.M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082173171&doi=10.1109%2fICAEE47123.2019.9015180&partnerID=40&md5=64feb4031b44f5395148915b73e82a2e"
"Yang R.-X., Chen H., Fan Y., Zhao W.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075469909&doi=10.15938%2fj.emc.2019.09.008&partnerID=40&md5=91298df87881f7dfdbfb76eaeb90850c"
"Saad K., Abdellah K., Ahmed H., Iqbal A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062452370&doi=10.1016%2fj.jestch.2019.02.008&partnerID=40&md5=265d359d084a059d21d8f632edc34e62"
"Boukhalfa G., Belkacem S., Chikhi A., Benaggoune S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070073067&doi=10.1007%2fs11771-019-4142-3&partnerID=40&md5=996a78596e9877a45263de22fd8452e1"
