Authors,Link
"Adamow A., Szukalski A., Sznitko L., Persano L., Pisignano D., Camposeo A., Mysliwiec J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079426121&doi=10.1038%2fs41377-020-0252-9&partnerID=40&md5=b75a33bcd18639adc06c7d809624c34a"
"Paredes S.D., Kim S., Rooney M.T., Greenwood A.I., Hristova K., Cotten M.L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082623287&doi=10.1016%2fj.bbamem.2020.183236&partnerID=40&md5=3a894efc1df741aa3a7dbbdc56eaeb5a"
"Nguyen T.V., Ta V.D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080104207&doi=10.1016%2fj.optcom.2020.125647&partnerID=40&md5=b7cf4d56df32b4c5db83578c6bc17af1"
"Ila, Malakar A., Gogoi A., Reddy K.A., Kumar M., Mandal B.B., Krishnamoorthy G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079172843&doi=10.1016%2fj.jphotochem.2020.112405&partnerID=40&md5=24fdf045088e5617bee226fc2851308e"
"Szukalski A., Korbut A., Ortyl E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079832584&doi=10.1016%2fj.polymer.2020.122311&partnerID=40&md5=4dbf33514bfc5352a1cfe8d85a94384d"
"Ta V.D., Nguyen T.V., Pham Q.V., Nguyen T.V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075905100&doi=10.1016%2fj.optcom.2019.124925&partnerID=40&md5=822655dce851353e535d779b31db34c9"
"Lu Y., Lowther Z., Christianson N.D., Li Z., Baer E., Kuzyk M.G., Dawson N.J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081752282&doi=10.1063%2f1.5145148&partnerID=40&md5=597e87f2a7e8e69a9b3fd809363e1436"
"de Oliveira M.C.A., de Sousa F.W.S., Jr., Santos F.A., Abegão L.M.G., Alencar M.A.R.C., Rodrigues J.J., Jr., de Oliveira H.P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078846735&doi=10.1016%2fj.optmat.2020.109722&partnerID=40&md5=f98d6f0983823ce20cad493320777a86"
"Li X., Liu H., Xu X., Yang B., Yuan H., Guo J., Sang F., Jin Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080980806&doi=10.1021%2facsami.9b23524&partnerID=40&md5=c5a614c9d9b0bfca41e0241d8df55cea"
"Qin H., Khater M.M.A., Attia R.A.M., Lu D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079121618&doi=10.3389%2ffphy.2019.00230&partnerID=40&md5=76a098f7252873f64e9314a375ba10b4"
