Author(s) ID,Link
"57189386458;15062778500;7102957682;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977492597&doi=10.1016%2fj.osn.2016.06.003&partnerID=40&md5=0f2f0a567d0066b59586bbdc6b9947a1"
"8985785100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028958863&doi=10.1007%2f978-3-319-30309-3_2&partnerID=40&md5=248506b09ad869272a1edfe5fb83da67"
"8985785100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028986680&doi=10.1007%2f978-3-319-30309-3_1&partnerID=40&md5=035bcb2180626c3223a6e8c813486312"
"16641940000;8576106800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939156718&doi=10.1186%2fs13673-014-0013-y&partnerID=40&md5=b823e28560837600e5b4244fd0d2a78c"
"16641940000;8961832500;55342100700;7005630377;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908455594&doi=10.1016%2fj.asoc.2014.06.001&partnerID=40&md5=bbffde617c692058329f5be314bf775a"
"22333922100;35195428600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917724346&doi=10.1007%2f978-3-319-02309-0_61&partnerID=40&md5=5be0cb2ba0e077ee969be83f697505c2"
"56425387600;55580139500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911929336&doi=10.1109%2fNaBIC.2014.6921887&partnerID=40&md5=c1eac4eb5e45b290873fc7d889af0cd5"
"16641940000;8576106800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898483597&doi=10.1007%2f978-3-642-41674-3_50&partnerID=40&md5=273e96d4ec76bfe357eaaa44ce4aa8eb"
"22333922100;35195428600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917742180&doi=10.1007%2f978-3-319-07013-1_20&partnerID=40&md5=0aa8232ffb919fac6d76f5d3a4787d72"
"36988897300;56847096800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902086905&doi=10.1007%2fs11235-013-9828-5&partnerID=40&md5=ce09c31a11f80710cf181b51a0725faf"
"24484939800;8681462400;57192483364;57198184361;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883237118&doi=10.1016%2fj.ijleo.2013.01.108&partnerID=40&md5=a3f7da3425b413c4d16a2a4d9d57a776"
"16641940000;8576106800;55879556400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880346454&doi=10.1007%2f978-3-642-37502-6_144&partnerID=40&md5=ab6910ae9041d3947ed472bbd6d54b4a"
"16641940000;55342151900;55342278700;55342100700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865297251&doi=10.1007%2f978-3-642-31588-6_18&partnerID=40&md5=17580414a091bfcb39bccb4a11727590"
"56847096800;36988897300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856156614&partnerID=40&md5=b344e252465ca533df3f3f345b047f31"
"35199820100;8985785100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649881344&doi=10.1007%2f978-3-642-14891-0_16&partnerID=40&md5=a6d500274b667af808319e2e70b43682"
"35199820100;8985785100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649807908&doi=10.2478%2fv10177-010-0005-4&partnerID=40&md5=d6b7d9ef83bc474b4bdd285a339cb2ba"
"35199820100;8985785100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74549197151&doi=10.1109%2fICUMT.2009.5345592&partnerID=40&md5=3e3fe69d3095997f88efbea28faca0ba"
