Author(s) ID,Link
"57197772743;57215593784;57197773096;7004366889;57197920216;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081250427&doi=10.1002%2fbest.201900091&partnerID=40&md5=4141a91a57a52f6b7f976a5e476f89dd"
"15021061700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079163287&doi=10.1016%2fj.engstruct.2020.110199&partnerID=40&md5=64a04b3f879cf835de48646db6fcd3ef"
"36666470600;15021061700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079154439&doi=10.1016%2fj.jcsr.2020.105962&partnerID=40&md5=d77dbe4a4b4b8aa727a13b76dae44db4"
"57216150320;57216151949;57216146671;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082668222&partnerID=40&md5=b1a5153a242fb3caa51f50c0e392b319"
"36477416200;57203098904;57191857737;56298150500;26639117600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074633528&doi=10.3390%2fs19224853&partnerID=40&md5=98bac1294ab7d4e0fa00be1506bb79aa"
"56388587700;36571658400;6602473139;57191446072;55633393400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068436079&doi=10.1016%2fj.engfailanal.2019.06.072&partnerID=40&md5=f86e9d9bf4295a08a9ef2d65584cad96"
"36242466300;57211353625;55293192100;23003655300;55347200400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073620823&doi=10.17559%2fTV-20181031162954&partnerID=40&md5=8b6edb365a78f687ba04473feedcfba2"
"6507539528;56479083700;36998595400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064754438&doi=10.1016%2fj.compstruct.2019.110902&partnerID=40&md5=fb143a32b67fd6baae2d058d37248c81"
"56942850100;57204709368;56942591800;35104160400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064823821&doi=10.1016%2fj.jcsr.2019.04.031&partnerID=40&md5=74768069fba034acf8226e85e134a29d"
"36666470600;15021061700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053770540&doi=10.1016%2fj.acme.2018.08.006&partnerID=40&md5=e99b33a6a01ba97fdbaa960da6a25acc"
"56521557500;25638045000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059177663&doi=10.1016%2fj.acme.2018.11.007&partnerID=40&md5=dcb0ef73e89ae1ad738ceeb754dcc65c"
"43461846900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060485568&doi=10.3846%2ftransport.2019.7081&partnerID=40&md5=115f94ffa651d70f22fb36db7a259069"
"52563853900;7801620103;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070903762&doi=10.1016%2fj.trpro.2019.07.105&partnerID=40&md5=c6bcea6fdc3a7259e58a56f2d49d602c"
"7102869484;23100229400;57195103612;43461846900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063251362&doi=10.1007%2f978-3-030-04975-1_29&partnerID=40&md5=c0ae7f8cb07e7dfd20826eefb4f90f24"
"6506923776;6506888229;57211287184;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073327853&doi=10.5593%2fsgem2019%2f1.3%2fS03.032&partnerID=40&md5=356b9f7a5e2ec289fff2510ba9e8e69d"
"57195334137;55233936800;6701660322;56370636900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074901304&doi=10.15587%2f1729-4061.2019.174030&partnerID=40&md5=6b0d5d79d72eac53b1c15f6874f55da0"
"56388587700;35218160100;31767478400;57191446072;57188546120;57210568269;12766044500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070871971&doi=10.1016%2fj.trpro.2019.07.060&partnerID=40&md5=53e2353232e66250e90c209e60f9dc3c"
"57195109827;8641788200;55557831900;9044259100;55937752600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063281917&doi=10.1007%2f978-3-030-04975-1_3&partnerID=40&md5=f86a94dab5ae90611c74984b8aa54035"
"57209217522;55998796800;56512168200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078571156&doi=10.1088%2f2053-1591%2fab6534&partnerID=40&md5=5ea20a16bdcfde201fa9b673e98af511"
