Author(s) ID,Link
"55361279700;12239215100;57208687862;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068161736&doi=10.1108%2fSSMT-02-2019-0007&partnerID=40&md5=45045c8c69f0b0e84f65c7151883248a"
"57200328552;55762999900;56096277100;57208687862;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077140982&doi=10.1108%2fMI-06-2019-0035&partnerID=40&md5=38f2cbd35c472a3f52939087e26dc38f"
"55361279700;12239215100;57208687862;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051856863&doi=10.1007%2fs00542-018-4079-8&partnerID=40&md5=3dc63e66eb732d4bb1ab83efffe8a580"
"55361279700;57208687862;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048044289&doi=10.1109%2fSmartTechCon.2017.8358505&partnerID=40&md5=880cbaa64ea8f24472523fb036844128"
"57200328552;57208687862;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040861799&doi=10.1007%2fs00542-018-3731-7&partnerID=40&md5=113cdeaf4272385a27f9b110c7d859f1"
"14830874900;55989037100;25930545000;22136338400;7005948822;56527282700;56219315400;6701719943;56955139700;6602696921;6507649529;6601972151;7004055887;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946782314&doi=10.1016%2fj.snb.2015.10.066&partnerID=40&md5=a39ac96ae0fd21b183c46bb8905e5c13"
"56526206300;56527282700;7005948822;22136338400;56755321000;36464074200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951277143&doi=10.1007%2f978-981-287-736-9_69&partnerID=40&md5=3edf5239657faf30422a48630d9d0afa"
"24724572100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955369066&doi=10.1111%2fijac.12379&partnerID=40&md5=a3bf79f34d775654e14e8352184fb090"
"55391483700;7006856382;24484697800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937837005&doi=10.1016%2fj.snb.2015.06.127&partnerID=40&md5=ca80366fac67eb69952e666dc1fb18d2"
"57201517821;35551096000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028208960&doi=10.1109%2fTCPMT.2015.2434273&partnerID=40&md5=a7ed5a5c7027646e1231ea20e829e0b1"
"56527282700;56526206300;7005948822;22136338400;14830874900;25930545000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966615499&doi=10.1016%2fj.phpro.2015.09.013&partnerID=40&md5=c4f506eb8136b8f362f7c024f1fe032a"
"24724572100;56532038300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930211235&doi=10.1111%2fijac.12286&partnerID=40&md5=52d1ebd1b3629fd6b4b7c3511974a97c"
"36194783700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944238964&doi=10.1007%2f978-3-658-09763-9&partnerID=40&md5=95aab8112f6344c81f98fce2c1d9a012"
"36194783700;23993366500;36672041200;39661281600;7401564105;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890435356&doi=10.1109%2fMWSYM.2013.6697410&partnerID=40&md5=f4c0a9fb6f724600ef5dcf88fce28935"
"36194783700;23993366500;36672041200;39661281600;7401564105;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890432573&doi=10.1109%2fTMTT.2013.2287178&partnerID=40&md5=09a0afe2678ae68de07c65c94e0deb70"
"54951606900;6602159623;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874785389&doi=10.1111%2fj.1744-7402.2011.02747.x&partnerID=40&md5=4959de3348494ee56c79ddc60cb43229"
"24724572100;36892516300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873179441&doi=10.1108%2f13565361311298204&partnerID=40&md5=7c4a89342fd853a947dbfecbd7927a52"
"55567686900;7004908955;55141782200;7103292326;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887096708&doi=10.1016%2fj.snb.2012.12.119&partnerID=40&md5=804ba58ed8137dc2a5c731bf1ec2ed3b"
"55232425700;7006275534;55232217900;55232154400;9278260300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875434897&doi=10.1109%2fICEPT-HDP.2012.6474772&partnerID=40&md5=7fcc815ec5044758b7195b38f845cf97"
"24171902700;54414593000;57198257416;55434060400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871773446&partnerID=40&md5=28141ac7c80cca915df4687adc4a4f41"
"24484697800;55391483700;36702007200;9274068700;7004914679;7006856382;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877755651&partnerID=40&md5=63b45b73d32c276726d53ad6f687f7f9"
"24484697800;57197434833;55391483700;36702007200;9274068700;7004914679;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876968005&partnerID=40&md5=06f604dcc4d1d429d66a399cd76219e8"
"57209809023;57206232285;55361202700;23986315400;49961088300;9233347400;6701384771;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866428235&doi=10.1109%2fISPTS.2012.6260886&partnerID=40&md5=600112469748e33bfb7e17c914e5dd2c"
"22035474900;24484697800;9274068700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862499118&doi=10.1016%2fj.jeurceramsoc.2012.04.036&partnerID=40&md5=b43e3caf68640da08e3c8d8c97d8d5e6"
"36767423500;8570753200;7404872031;7102836365;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857745220&doi=10.1002%2fpssa.201127470&partnerID=40&md5=b0c074a4f717bc817c69a365fec199a4"
"8570753200;36767423500;7404872031;7102836365;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902436197&doi=10.1109%2fESTC.2012.6542143&partnerID=40&md5=1201afdef345f50f27b3c1f0d9a9d761"
"24171902700;55700299900;57198257416;7004268543;55991236800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871817302&partnerID=40&md5=3a7fc8bc07e1e3d9d9a447dbeb8784ed"
"57193068555;26635536400;57199369233;56044473600;35551096000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960387728&doi=10.1016%2fj.jeurceramsoc.2011.05.039&partnerID=40&md5=06a675ab37331e064b5838852c63b998"
"36630265800;9278260300;7006275534;55369793100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053324437&doi=10.1109%2fNEMS.2011.6017474&partnerID=40&md5=6818ab7e6d35b7d39af99130538aa41f"
"15761056800;7005144048;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958081048&doi=10.1016%2fj.microrel.2011.02.018&partnerID=40&md5=bcace7a4bcd6cc33e5e85136be21c044"
"24484697800;35114709200;41460940700;36159338100;7004914679;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958172295&doi=10.1016%2fj.microrel.2011.03.021&partnerID=40&md5=9d4727720b5c855d11e2325065ffe083"
"57201517821;35551096000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959605171&doi=10.1049%2fiet-map.2010.0352&partnerID=40&md5=710161ec00bdc5702cc2081e799d580d"
"55977622600;7004739870;7202239693;6601954011;14024322500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751502866&doi=10.1109%2fSIITME.2010.5651534&partnerID=40&md5=9d59fa7c50e5ee4a64bf78def52b5560"
"15761056800;36519616200;7005144048;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957269215&partnerID=40&md5=f67f3c10fe145738e88d278f19bdc76a"
"22935210300;24482400800;7202563849;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952958876&doi=10.1016%2fj.jeurceramsoc.2010.03.011&partnerID=40&md5=29575cd9205ccb5e771d1c22fb069976"
"6508129383;6504413950;55928070700;6603773944;36238675100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954800833&doi=10.1108%2f09540911011054163&partnerID=40&md5=612c1b493b95ebdd3a669064303ba959"
"6508129383;36009334800;6504413950;6603773944;6603481544;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951833911&doi=10.1108%2f09540911011036253&partnerID=40&md5=f2ddd5e6a929e25a7bf4524add98fec2"
"57201517821;35551096000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73049096455&doi=10.1109%2fMWSYM.2009.5165735&partnerID=40&md5=d5159ad1eb80518a9b07bb5e1e8d86b7"
"57201517821;22035981500;7003453160;35551096000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73049095885&doi=10.1109%2fTMTT.2009.2033846&partnerID=40&md5=30dd781594c9299f9bf60f0bb2b39ba7"
"6602586878;24174571600;6507729320;12791166900;24281069300;55398234300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349199632&doi=10.1016%2fj.microrel.2009.02.016&partnerID=40&md5=0006c534e6d224599be39854966f6a9f"
"10042231700;35254709200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349138252&doi=10.1007%2fs00170-008-1647-6&partnerID=40&md5=88e76563ff21c088f11e58e05ce4d2e0"
"56094934000;24484697800;16024770100;56274153500;7004914679;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847351187&doi=10.1016%2fj.sna.2006.05.025&partnerID=40&md5=45d0ae16e0e858fe0b227d28aea716c9"
"9274068500;24484697800;7004914679;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947607404&doi=10.1088%2f0960-1317%2f17%2f1%2f007&partnerID=40&md5=aa467387566da8cf9e616b735130fff0"
"7004502365;8907538000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886323411&partnerID=40&md5=2603ea841d246667314a9190c86a9356"
"7006638945;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751016352&doi=10.1016%2fj.jallcom.2006.08.052&partnerID=40&md5=2203b4de96575cbe562a779471a7ee2a"
"7003857516;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745801593&partnerID=40&md5=aed83de317f71d9bcc86f32f87ba8c75"
"12791166900;8402957000;35725116700;7003866033;55398234300;7005291362;7003834176;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645159664&doi=10.1016%2fj.snb.2005.08.028&partnerID=40&md5=859e123ccc7cfe5d80eb1b1039b68cfd"
