Author(s) ID,Link
"57209888297;57204923971;7403451998;55035355600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081788324&doi=10.1039%2fc9ee03660a&partnerID=40&md5=38ecd7b7b9b4d18d101b8fff02842b55"
"55476641500;56937448000;11738982700;15752799300;57204029106;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076195355&doi=10.1039%2fc9nr07824j&partnerID=40&md5=1dcb1609fe550e5bb123fc03c056242e"
"57206843596;57206858970;57208254382;35085235200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065446872&doi=10.1007%2fs12274-019-2403-y&partnerID=40&md5=6f89a61390d8bc499155e150ffbf9552"
"57191998334;57195630573;57207771924;56330685800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064664494&doi=10.3390%2fcatal9030224&partnerID=40&md5=d0feb5af1efde8c3fd1c32854879b8fd"
"23494027800;57210981507;57212137267;56257363000;57203798193;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072100870&doi=10.1039%2fc9cy01234f&partnerID=40&md5=e841517b7bdcf4263faf1ff6cab4ffcd"
