Author(s) ID,Link
"57212467001;55888125300;57215651779;15044469700;8523572300;6603762522;6602250987;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081556592&doi=10.3390%2fma13051081&partnerID=40&md5=07c4532d2accc5fee6f9d02fce1c5677"
"57211412617;56180487100;55546354800;6506960955;23396344500;6507982750;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078659832&doi=10.1021%2facsami.9b22062&partnerID=40&md5=a765fb54a139361b0f2f1ff42c7526af"
"57202953818;6603471795;6603010035;7005632077;6603835862;7103181560;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078080172&doi=10.1021%2facsami.9b17597&partnerID=40&md5=4a1267a8e8b801ad55c35df45dd2830f"
"56674611700;57202953818;6603835862;7005632077;24734224200;8389510400;6508167721;7103181560;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076716769&doi=10.1016%2fj.eurpolymj.2019.109442&partnerID=40&md5=b5c946c3dd0607d9f87649805b3d775e"
"57202953818;6603835862;7005632077;7103181560;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072731622&doi=10.1016%2fj.carbpol.2019.115371&partnerID=40&md5=d5896e81bf15d410bb4818ada5d412c3"
"56273710100;55493446000;24330268800;57196495914;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079119933&doi=10.3390%2fpolym11121949&partnerID=40&md5=531ebeb267629c1d61487142008f3035"
"56326733200;57194129276;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072066261&doi=10.1002%2fpi.5910&partnerID=40&md5=c1670f009a008b47606c6c4145c65bcf"
"57202953818;57209598884;7005632077;6603835862;6603847981;7103181560;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068228396&doi=10.1016%2fj.eurpolymj.2019.06.028&partnerID=40&md5=09b90bb71c40f46f9b8f9605c3945743"
"7103181560;6603835862;57205324793;57202953818;7005632077;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059534407&doi=10.1007%2fs10973-018-7979-z&partnerID=40&md5=55e40d3e8cdf01e39a0e720b7e44b702"
"57208337020;57203961922;7402229489;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064478130&doi=10.1016%2fj.ijbiomac.2019.04.058&partnerID=40&md5=fbb98a7e0b6740275c0a18d09bd4b62b"
"57207844822;8509216100;6603145025;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063050368&doi=10.1007%2fs00253-019-09725-y&partnerID=40&md5=321c7bbb6569a4f4fe3c3d40d5c3c7e6"
"56874861200;55551220000;6602666455;57200236386;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056404915&doi=10.1088%2f1758-5090%2faae605&partnerID=40&md5=a57acceb281f659567319f92fc4dcdbd"
"57200007512;7103181560;57200001614;57194129276;7005632077;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049001895&doi=10.1016%2fj.carbpol.2018.06.084&partnerID=40&md5=4e5f15b81e34d85c0f84991085da5961"
"7005632077;56808884600;57195074347;7103181560;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043389681&doi=10.1002%2fapp.46390&partnerID=40&md5=fe8f439d76be649d8dee7542311b715b"
"6603062032;57190936148;56497871100;7003972855;7103181560;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044308692&doi=10.1016%2fj.carbpol.2018.01.012&partnerID=40&md5=0f7b1a8822134423058a4b986f791b2f"
