Author(s) ID,Link
"6507270884;8673451300;35489885300;7003271102;7103360092;23003233600;26025207500;36051409500;7402920712;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-75749108986&doi=10.1063%2f1.3299258&partnerID=40&md5=bab20d96596942ca7b23ffeeee5e6bdd"
"23091238100;8673451300;7003271102;7103360092;23003233600;26025207500;36051409500;7402920712;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250668038&doi=10.1063%2f1.2745122&partnerID=40&md5=06b1aaeef78184d5e387551a62596647"
"23091238100;8673451300;7003271102;7103360092;23003233600;26025207500;36051409500;7402920712;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249876312&doi=10.1063%2f1.2743382&partnerID=40&md5=e11d512106f8ff713207286e4f911a98"
