Author(s) ID,Link
"55900008400;55899347800;57196240738;55898407900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886298851&doi=10.4028%2fwww.scientific.net%2fAMM.411-414.1742&partnerID=40&md5=2727af3308058f225db90f5e623c2ea1"
"7403365537;55900008400;57199255460;55080170900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872522562&partnerID=40&md5=86b16d1249502fc2c7370e0292150eda"
