Author(s) ID,Link
"56158186400;57216396547;57202549105;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083392123&doi=10.1142%2fS0219455420500492&partnerID=40&md5=3d36a848761602c731bfb84046b5e6eb"
"56669818200;7003761411;57191628756;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058181419&doi=10.1016%2fj.ymssp.2018.11.056&partnerID=40&md5=e20b79459721f8b58a47de45f1e87a4c"
"57202753403;57050568800;7102224997;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049191817&doi=10.12989%2fsem.2018.65.3.263&partnerID=40&md5=3b98a12716c4dd0e00458ad4c402a593"
"57035034400;57034652300;57208523607;57191539916;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991471870&doi=10.12989%2fsem.2016.60.2.175&partnerID=40&md5=e825bac61cad44248160c1a989251197"
"15119047100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941776568&doi=10.12989%2fsem.2015.55.4.871&partnerID=40&md5=f8d94b5c5289ca15c741baf9844608c1"
