Author(s) ID,Link
"24586894800;6602308476;6701547348;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926482057&partnerID=40&md5=1623fbd94562565b6453fde6cbe6f9c4"
"6505919113;57195833973;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80755180751&doi=10.1002%2fj.2050-0416.2011.tb00471.x&partnerID=40&md5=4662ae32df38b8ef87de78cb7dc13f9e"
"37065983100;6701547348;6602308476;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649240377&doi=10.1016%2fj.cervis.2010.09.004&partnerID=40&md5=517012e5617197f0fa3b354457af16ce"
