Author(s) ID,Link
"6507939391;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-6244276994&partnerID=40&md5=070906d7c22ab802b6daa64e1d0fb6d9"
"6602317671;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85005567185&doi=10.1002%2fetep.4450050404&partnerID=40&md5=3b8caab717cbc214578f5a405a515775"
"6602317671;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027599258&doi=10.1002%2fetep.4450030304&partnerID=40&md5=8810a68bf0f4a79b437d7f1c8c2f83c1"
