Author(s) ID,Link
"36713452200;56716006600;56688573300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083059981&doi=10.3390%2fagronomy10040525&partnerID=40&md5=b36d2fda1dfb955d115dc44275afcbf7"
"57195427656;57211366765;57211367189;57212591623;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073656151&doi=10.1038%2fs41598-019-51514-0&partnerID=40&md5=9e3296cbe988e34ce736e39300f272f8"
"8969580700;56510220100;54790949500;56114635100;56857471300;57207207973;55153567200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073626976&doi=10.3390%2fsu11195287&partnerID=40&md5=9f8d019063f3ee26adf609f751ef86f5"
"36196416200;6508142182;7005530676;8967525500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061428163&doi=10.1016%2fj.ecoleng.2019.01.015&partnerID=40&md5=e7b39c8077f63a887b7d5981c5b4352b"
"56107708000;57204082462;57204037537;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054191666&doi=10.1007%2fs12010-018-2889-x&partnerID=40&md5=0c1931185e1c189ded2435c3284ebb02"
"57203263939;6603285406;56401091600;55958697000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062466870&doi=10.1051%2fe3sconf%2f20198600032&partnerID=40&md5=de6770fcad5047a5de8817ddbaa9c242"
"57211045695;57200716733;57209747782;57209747980;57211040580;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072401272&doi=10.1016%2fj.matpr.2019.06.028&partnerID=40&md5=abeeba3543243a5cd87abd9613de0c51"
"57204053924;57196187169;26667703000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056419044&doi=10.3390%2fmolecules23112897&partnerID=40&md5=8f95aae2032f520ce5ee573a856f8817"
"56306771400;55894117500;56406843900;56229763500;57204786615;56102905600;56384014100;7501400346;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064522927&doi=10.12030%2fj.cjee.201805080&partnerID=40&md5=e4d2c178afacba8a04646d17dc9cb0c3"
"57190730088;28767899300;57194189113;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019129663&doi=10.1016%2fj.jenvman.2017.05.004&partnerID=40&md5=7cae4c0911ea964e8c94989952606191"
"36713452200;57204053924;56716006600;41260916600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042279504&doi=10.1515%2fchem-2018-0004&partnerID=40&md5=375675fed6e846c4c20d8343dc0a0456"
"54788819100;14021259300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037078808&doi=10.1007%2fs12033-017-0052-5&partnerID=40&md5=209d458348740258b71b49aafd276918"
"57205332617;36987882300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081363847&doi=10.1016%2fB978-0-12-813272-2.00004-5&partnerID=40&md5=11f05ce63ee816041a12177a033608e1"
"56708823500;57204053924;36987882300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018194030&doi=10.1002%2felsc.201600191&partnerID=40&md5=25a44b0b22e5ce0085f94ed8de3ae222"
"56708823500;57204053924;55825585200;36987882300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85005943780&doi=10.1002%2fjctb.5135&partnerID=40&md5=c9d8b1a66a019700f3b87fedf2b553f7"
"56708823500;57204053924;25637599000;36987882300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015616561&doi=10.3390%2fmolecules22030473&partnerID=40&md5=2a0943a01c763f317b62edd1aa98ea68"
"36713452200;56716006600;35773347200;56688573300;57204053796;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068204695&doi=10.15199%2f62.2017.10.31&partnerID=40&md5=8225a7acea13d135471c06bdcf7f89d3"
"36713452200;56716006600;57205332617;56688573300;35773347200;57204053796;15053249100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066495343&doi=10.15199%2f62.2017.10.29&partnerID=40&md5=771524ce09c636954622114df31f56ba"
"56716006600;36713452200;57204053796;56688573300;35773347200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016218833&doi=10.15199%2f62.2017.2.24&partnerID=40&md5=e1dc68cf1636aab204b83f2cf52e2b67"
"36713452200;56716006600;16230977100;56688573300;35773347200;57204053796;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068234340&doi=10.15199%2f62.2017.10.30&partnerID=40&md5=3772896bc6c5df7543804992584b8a9b"
"57190730088;28767899300;55928913100;57212856672;55681650700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982746858&doi=10.1007%2fs12649-016-9618-x&partnerID=40&md5=84a82fbe22377a0a08935b7f68d9596f"
"56708823500;57204053924;26667703000;36987882300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957577394&doi=10.1016%2fj.ecoleng.2016.01.065&partnerID=40&md5=c38f77a1e975120a7f3f3254ae689a26"
"55650020900;16205768200;6603915454;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949323658&doi=10.3109%2f07388551.2014.928812&partnerID=40&md5=fcca903e6a9f46271c0b2603afe470c8"
"36713452200;56716006600;35773347200;56688573300;57204053796;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054495972&doi=10.15199%2f62.2016.8.35&partnerID=40&md5=0b4acacdfc392eee72935ae3fd034729"
"36713452200;56716006600;56688573300;35773347200;57204053796;15053249100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054542239&doi=10.15199%2f62.2016.8.33&partnerID=40&md5=e1c73ee5cbf907af28cba0c218047285"
"36713452200;56716006600;56688573300;35773347200;57204053796;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054496992&doi=10.15199%2f62.2016.8.34&partnerID=40&md5=359d8791280a2f1f005ebf1518cc8b32"
