Author(s) ID,Link
"57169946000;56640311200;57188758635;57212647447;22954726300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076484509&doi=10.1103%2fPhysRevFluids.4.124303&partnerID=40&md5=a0baf3d4f692818e9e82c103603b6e2c"
"55819632800;50562353400;56663087600;6603731208;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075497849&doi=10.1016%2fj.powtec.2019.08.106&partnerID=40&md5=6280c878e4a6e1c98d062cf53214df0f"
"57205755365;55819632800;6603731208;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061455632&doi=10.1016%2fj.jlp.2019.01.010&partnerID=40&md5=e1cab32546ac42dc1c90faec92490fb9"
"55819632800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052622304&doi=10.1063%2f1.5044731&partnerID=40&md5=b7abeb8a3cd02a63ea0628191412f081"
"55819632800;55963582700;6603731208;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040561391&doi=10.2514%2f1.J056242&partnerID=40&md5=1c2c19eef3b61bebe125ee773a3a46c0"
"55819632800;50562353400;56663087600;6603731208;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052619766&partnerID=40&md5=5ff1c0b846fe5050778fd836bfe56764"
"55819632800;6603731208;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029370506&doi=10.1016%2fj.powtec.2017.09.023&partnerID=40&md5=cae7936766ece0b42ab3395dc40020c6"
"57194555645;6603550497;56378353200;6603497363;6603731208;55819632800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020762615&doi=10.1016%2fj.jlp.2017.05.028&partnerID=40&md5=61c17bf8a4440a40e2ba42af663ab281"
"55819632800;6603731208;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017383552&doi=10.1016%2fj.powtec.2017.04.012&partnerID=40&md5=0d06a26855ff867483e3c500d15f32c4"
"55819632800;6603731208;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017119974&doi=10.1017%2fjfm.2017.157&partnerID=40&md5=8798275b3b5b5c35d54bd4e7d4b766c9"
"55819632800;55963582700;6603731208;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010756167&doi=10.1016%2fj.ast.2017.01.014&partnerID=40&md5=923528bb816e1f36bbaf0d55f7cb795a"
"55819632800;55963582700;6603731208;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023623615&partnerID=40&md5=79a7dc7aec5593bd63ab99db0d3273cc"
"55819632800;6603731208;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993933921&doi=10.1016%2fj.powtec.2016.10.024&partnerID=40&md5=3ee2d818d626fa5a7208908dad227267"
"55819632800;6603731208;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979293993&doi=10.1016%2fj.powtec.2016.07.031&partnerID=40&md5=62ff701239f3c0ef30171e721efeb261"
"55819632800;6603731208;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981743421&doi=10.1016%2fj.jlp.2016.05.002&partnerID=40&md5=97f43138cdffe4d18a592a1237f9fd3a"
