Authors,Link
"Gąsior D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072826682&doi=10.1007%2f978-3-030-30440-9_28&partnerID=40&md5=61d0c2a8ab27aa3cde87c74b984af0de"
"Tamannaei M., Irandoost I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057603193&doi=10.1080%2f15472450.2018.1484739&partnerID=40&md5=3d01d851369e57b32a770766c30e83ec"
"Gasior D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053526017&doi=10.1007%2f978-3-319-99981-4_6&partnerID=40&md5=be4a6afafc92650fe28082ec866c81d8"
"Belay Gebremeskel G., Hailu B., Biazen B.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077170654&doi=10.1016%2fj.jksuci.2019.12.001&partnerID=40&md5=a4d86f98a819aece1ba2e7a95148fcb9"
"Petrillo A., Carotenuto P., Baffo I., De Felice F.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020518160&doi=10.1007%2fs10668-017-9991-z&partnerID=40&md5=db889ba7861f942a5e267e8f69750841"
"Gąsior D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029504134&doi=10.1007%2f978-3-319-67229-8_20&partnerID=40&md5=cc44838216f82c85548ab41196fdf560"
"Blinowski G.J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029519198&doi=10.1007%2f978-3-319-67220-5_21&partnerID=40&md5=698661d4f7763ddd5945f33ce9a67a4f"
"Parnianifard A., Azfanizam A.S., Ariffin M.K.A., Ismail M.I.S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020067954&doi=10.5267%2fj.ijiec.2017.5.003&partnerID=40&md5=d866288c2b0e4dcfd219357b04ae5e88"
"Gąsior D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996523487&doi=10.1007%2f978-3-319-48944-5_30&partnerID=40&md5=cc7daf10c500fd0424da79bf41cf3dce"
"Hojda M., Filcek G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996549800&doi=10.1007%2f978-3-319-48944-5_26&partnerID=40&md5=77d39f2e999dd50b4355172d74e5908d"
"Filcek G., Hojda M., Żak J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039969373&doi=10.1016%2fj.trpro.2017.12.108&partnerID=40&md5=e1e34ab03adc63171eddc1fadb36e246"
"Filcek G., Żak J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990853714&doi=10.1007%2f978-3-319-46589-0_18&partnerID=40&md5=eb4033169ce349523e5a9164214185d8"
"Oulaourf S., Haidine A., Aqqal A., Ouahmane H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017152415&partnerID=40&md5=65c007ff8f49adac466cc0c76fd615c6"
"Romanuke V.V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996523867&partnerID=40&md5=24f01dea58b171081539de3dfbc92e69"
"Lei Y., Yu P.S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989909001&doi=10.1109%2fSCC.2016.108&partnerID=40&md5=081f72bfaada6792811dd316200f5cff"
"Gąsior D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959306704&doi=10.1007%2f978-3-319-28561-0_12&partnerID=40&md5=c4b2840f273c063f4d3a1813f839c92e"
"Romanuke V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975057013&partnerID=40&md5=f953656dfc9f0f39c8264f41148b7d68"
"Jozefczyk J., Gasior D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942807926&doi=10.1108%2fK-12-2014-0299&partnerID=40&md5=0a3b54ad822fbf7f8374809e93da9048"
"Drwal M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906544874&doi=10.1007%2f978-3-319-08422-0_60&partnerID=40&md5=b4005888f2f37bd62906322c78a3c61a"
"Romanuke V.V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949772079&doi=10.1615%2fJAutomatInfScien.v47.i9.70&partnerID=40&md5=cd63025fb255d0ff6b39e4ef7994396e"
"Romanuke V.V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964608805&partnerID=40&md5=2b7005804fabd193c9153c8fedea035b"
"Turowska M., Gąsior D., Drwal M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916213393&doi=10.1007%2f978-3-319-01857-7_54&partnerID=40&md5=2e97fb15a3a7a73170f29f738d2a25cd"
"Gasior D., Drwal M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919372844&doi=10.1109%2fNETWKS.2014.6959258&partnerID=40&md5=c0d5fa1693d89674d0ba3fc6f0c2fb8d"
"Drwal M., Radziszewska W., Ganzha M., Paprzycki M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921671448&partnerID=40&md5=f2d7a068979c3297015ebdbc0ca3ab6b"
"Romanuke V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918537710&partnerID=40&md5=54668b046785ed936eeab5b5ec1b6a69"
"Benslama M., Boucenna M.L., Batatia H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014518255&doi=10.1002%2f9781119089377&partnerID=40&md5=0acc764da6feb97985c53ca66a4b950b"
"Klimek M., Łebkowski P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051570826&doi=10.2478%2fv10175-011-0008-z&partnerID=40&md5=ffae328c928dbb37b4b211a3adcd4e3f"
"Gasior D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350162119&doi=10.1108%2f03684920910976970&partnerID=40&md5=9fb54139d948bff934eae6a4ef2487f3"
