Author(s) ID,Link
"36195011200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077943390&doi=10.1016%2fj.future.2020.01.011&partnerID=40&md5=feb4285b4ec34c12ba072676cde401f9"
"24776100600;7006370703;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080942325&doi=10.1016%2fj.xphs.2020.01.011&partnerID=40&md5=1f291b105ca81f79eca52d2fbe961da3"
"57214111265;57195394660;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082081501&doi=10.3390%2fapp10051892&partnerID=40&md5=8e3866a15fa9310af13d39de0662e433"
"55813633100;56606785000;56606932800;57210556203;57210551929;19933257900;7003599343;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070905399&doi=10.1002%2fwrna.1563&partnerID=40&md5=00e0a87ef389609303e7ce57cee56da5"
"57204584225;10238954800;15073900100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073499987&doi=10.1016%2fj.tcs.2019.08.015&partnerID=40&md5=325874b480b73f90248ac62a8bef1db5"
"8859902300;57209178048;7007161711;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083252609&partnerID=40&md5=cfe04578f43ce770bb21db86563cac6b"
"8859902300;57208799929;57203389089;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065842272&doi=10.1007%2f978-3-030-19738-4_27&partnerID=40&md5=4241ce36c94a519626b205ba9935da89"
"57216301732;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083066585&doi=10.3233%2fAPC200039&partnerID=40&md5=aac0b691b66d6c5ba20afab3fbeea4ad"
"57212243674;24829192500;56695326400;6504056407;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077527222&doi=10.1007%2fs11276-019-02221-1&partnerID=40&md5=2cd150256d9144825ad49d39899888b6"
"57212025484;57212027956;57212024433;23003505000;36027387300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075734603&doi=10.1016%2fj.jevs.2019.102850&partnerID=40&md5=056919d6151b2546a07c3b55faecd065"
"56681542400;7402307709;57132370200;57213609691;35585059800;55811315600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077888004&doi=10.1111%2fexsy.12526&partnerID=40&md5=4190f19ff50755a49c83b822332c05b7"
"57207732480;57188847333;26633172500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083713706&doi=10.1007%2fs10462-020-09827-4&partnerID=40&md5=18ee79d014e4374a660926b4dde37014"
"57194548720;36154563500;24477743900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068457868&doi=10.1016%2fj.eswa.2019.06.046&partnerID=40&md5=4036347ab16c7bdf94a4d19f7f41190f"
"56576743600;24385806900;56656663900;7410246512;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060535261&doi=10.1038%2fs41598-018-36946-4&partnerID=40&md5=6f9516a47be7d7d2f98b4583281f9e8c"
"57200011569;7102702401;9637883000;36767101300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074964133&doi=10.1093%2fbioinformatics%2fbtz271&partnerID=40&md5=3ac914f3e28bf665994789c1051becca"
"56416391600;56416139500;36622971400;6601958327;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047825089&doi=10.1007%2fs00521-018-3559-1&partnerID=40&md5=3bcc620f0b3e3d8411c4d5a2bb764a3a"
"56785382300;55315249700;55314439400;57200792963;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065797118&doi=10.1016%2fj.amc.2019.04.015&partnerID=40&md5=8344bac105a1508edf2ba4e98018d074"
"57215681433;57215680707;23092244800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081656218&doi=10.1109%2fICSEC47112.2019.8974682&partnerID=40&md5=6dc2b71acd7b11ad0b99e6690c51a0b4"
"57205625446;10238954800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077089775&doi=10.1109%2fBRACIS.2019.00012&partnerID=40&md5=5ea3eb9f4042947743cde10151e11176"
"39763217100;6506186798;50061815800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061344367&doi=10.1016%2fj.tcs.2019.02.002&partnerID=40&md5=c36b44befd0f5f75e50485562ed8b177"
"57215085984;57203078732;7003622985;57215081188;57201347900;16067625200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079867275&doi=10.1109%2fICDAR.2019.00043&partnerID=40&md5=bf333294a9c9e0d99fec588c46ee3a7d"
