Author(s) ID,Link
"26637076300;57192090765;57209137151;57204363419;54392655700;7404830249;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073327782&doi=10.3390%2fmet9090947&partnerID=40&md5=bf20ab2250355fda22e8f6ff42746b93"
"54969710700;56429101500;55899299300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062372578&doi=10.1007%2fs00170-019-03499-3&partnerID=40&md5=d03e847471fd7b2da2dfb278a4a011b1"
"57207936966;57204107870;7102726095;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063287653&doi=10.1007%2f978-3-030-04975-1_68&partnerID=40&md5=79bcc65faa102c16c6946f918ed38e78"
"57191827845;16246992400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054437609&doi=10.1016%2fj.addma.2018.10.010&partnerID=40&md5=2d3227eaf5b52f808ff24fe838fd1d86"
