Author(s) ID,Link
"23061206900;55312140400;24437455900;57209802700;6603448127;6701798710;25029792200;55937876000;55571124400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068766339&doi=10.1080%2f00365513.2019.1637534&partnerID=40&md5=37ff6ef898ca9285547ee4a476a13e12"
"57209307286;57209304132;57209302959;7007017469;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067313637&doi=10.1146%2fannurev-anchem-061318-115106&partnerID=40&md5=267749db1c3edbdc9c0b6330d5ecad6b"
"57204613966;56167544600;51764381000;6602183897;6701396349;7003483203;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065787183&doi=10.3390%2fijms20092232&partnerID=40&md5=486f905b8bef2e3abc3050bc5aef40dd"
"56298447900;57206196733;57191959184;57190498102;57202194801;25026829000;55322545800;56499307700;35106153200;6603391225;57202491651;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061567240&doi=10.3390%2fbios9010027&partnerID=40&md5=93aa153fc79bf93dd62ee787f5b5ee17"
"57204613966;57204613451;51764381000;55652488600;57205556505;57205555267;36474654100;8607413100;6602183897;6506671755;6603116470;16641102400;6603025528;8280653200;7003483203;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060516144&doi=10.1021%2facs.jmedchem.8b01466&partnerID=40&md5=4d24bbcffefae3d914cda890c6963ffd"
"23061206900;55312140400;55937876000;6701798710;6603448127;56502278000;24437455900;55571124400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057891126&doi=10.17219%2facem%2f70811&partnerID=40&md5=d63e3a48b6cf44a2f344f04249c76b2c"
"57203588926;22936445900;55084218400;35086476700;36071220200;35434669400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052365679&doi=10.1021%2facssensors.8b00260&partnerID=40&md5=5e91ca71177e2a2a8e431874c13c8482"
"23061206900;55937876000;6701798710;56502278000;6603448127;55571124400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014480765&doi=10.1080%2f08941939.2017.1282559&partnerID=40&md5=76b736ba61e043e6ec67fd25464d708f"
"24437455900;6701352215;57198433505;55571124400;6603448127;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036502416&doi=10.1016%2fj.jpba.2017.11.070&partnerID=40&md5=271b8abe41dfd092a1d8a7ba24334726"
"57187348000;35620124000;23490592300;56009695000;55303471800;57191250626;55649569149;55177969400;36673816000;19035039000;56257394100;57200398117;57203141037;55495964900;6507613505;57202823703;6603423887;7004092432;7005864061;8656889400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041125986&doi=10.3389%2ffimmu.2017.01975&partnerID=40&md5=6570737e540f85af7483c40b89bd1d50"
"55565466000;6504745085;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063299604&doi=10.2174%2f1381612825666181219163922&partnerID=40&md5=95e6926a9bb726d6384212c71f660698"
"55565724300;57194701159;8869026100;6504745085;13408314000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021778077&doi=10.1016%2fj.antiviral.2017.06.020&partnerID=40&md5=3b945293b9a0afe7119c5c2f34f0975a"
"57215307315;7006391641;57215312145;57215326164;57215325747;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010799986&doi=10.1007%2fs12195-017-0478-7&partnerID=40&md5=df75604f895265bcf6c19cafb1fdca70"
"23061206900;55937876000;6701798710;24437455900;6603448127;55571124400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012100202&doi=10.1016%2fj.advms.2016.07.004&partnerID=40&md5=df74d839b31027c8ab227e885382573c"
"35608187400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021747803&doi=10.1021%2facssensors.6b00763&partnerID=40&md5=824a2002854a81d0c56ebaa96dbdb4d6"
"8656889400;55280036400;55177969400;23490592300;57202823703;55495964900;57191250626;57214636512;37076382600;6507613505;6701706213;7006447511;57190020858;56616379900;35229627500;15133337500;55317074400;35216109300;55574191522;56009695000;6603423887;7004092432;57207892847;6507200127;7005864061;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988369313&doi=10.1038%2fleu.2016.249&partnerID=40&md5=2cadfa11d5b965e40728949f13de9fdf"
"55365302800;55270262500;56385273900;57193890368;56786129900;56767784500;7101742328;14042918100;6603803320;7004234205;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017399595&doi=10.1002%2fchem.201700319&partnerID=40&md5=c44a4395037abd7f62b6ea43858b1fd4"
"24437455900;7004629452;57191540455;6603448127;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991458136&doi=10.1016%2fj.ab.2016.10.002&partnerID=40&md5=f8263f25e9b88717fcecba309a69c1d6"
"56502278000;6701352215;23390843200;6603448127;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984643556&doi=10.1039%2fc6ay01856d&partnerID=40&md5=fb7b906adf07d3e58ff22b2200967597"
"24437455900;6701352215;6602537714;22434067600;56316049700;35263885000;6603448127;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969795434&doi=10.1007%2fs00216-016-9621-x&partnerID=40&md5=ca4aefd460d27dd3ef61e9dc967fc43e"
