Author(s) ID,Link
"35609302700;24339971000;55838139600;7004309779;23476757500;56247607100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018366702&doi=10.1016%2fj.jcrysgro.2017.04.026&partnerID=40&md5=3946014550456f39ce013918324a0dec"
"7406786444;56001235000;56000951300;36708184900;7006373736;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892385049&doi=10.7567%2fJJAP.53.018001&partnerID=40&md5=c0351e0a97bb9aeb50e332b50d8fcfcc"
"8375251000;36024842100;7005085571;7004238952;35265144200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884929995&doi=10.1063%2f1.4819962&partnerID=40&md5=9a73d5b6152b7aa026402343aec2a700"
