Author(s) ID,Link
"6602727850;56332695700;56340208100;57202289978;54405698400;57214691311;24074976100;6603181937;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081118906&doi=10.1016%2fj.reactfunctpolym.2020.104550&partnerID=40&md5=36cd87f5bc167999858d2b8ac11a2173"
"12143333000;35752120800;37118843500;56676305600;23482189800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078243573&doi=10.1016%2fj.msec.2020.110675&partnerID=40&md5=16b0520411461f28b751ceb34c4e8a63"
"55353080800;7003603265;35174878900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076231084&doi=10.1016%2fj.ijcard.2019.11.091&partnerID=40&md5=39ec5543b8381b8470c329595229697f"
"57215816668;56989950200;57147236700;6603365099;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081977525&doi=10.3390%2fpr8030304&partnerID=40&md5=4f2274d9a9f0815b77f0e558cea1e4f7"
"57191518473;35179831100;56585630700;57212410616;8161210000;16424301900;55715683400;56446221300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076615372&doi=10.1016%2fj.biomaterials.2019.119567&partnerID=40&md5=5c2ffb01924655c748c31dad94f89ce4"
"57212457875;56414562900;20435268200;9244492500;16307609300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076701848&doi=10.1016%2fj.ijengsci.2019.103201&partnerID=40&md5=022e3fe7a36d1a3aefe1fdc8c574290c"
"57188705666;56308311600;57201909949;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046447495&doi=10.1080%2f15440478.2018.1469452&partnerID=40&md5=d82becec147610c9f5a7b3cdc5b8d683"
"56230109600;14052308500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072823853&doi=10.1007%2f978-3-030-29885-2_25&partnerID=40&md5=f67df9f673913b307c02f26480a589ae"
"57197732021;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072534986&doi=10.3390%2fpolym11091496&partnerID=40&md5=48930b56dffacaa7cc98cce2733964b6"
"56564487800;56019602500;57211898217;56580988000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073774611&doi=10.1088%2f1757-899X%2f587%2f1%2f012006&partnerID=40&md5=485e965eb9cb38b0e9ff045509c7f9f6"
