Author(s) ID,Link
"6507106906;56536725700;55763183300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067699143&doi=10.1080%2f01496395.2019.1620778&partnerID=40&md5=0551e7f3198d1d0f931144004a78f307"
"6507106906;56536725700;55763183300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019653061&doi=10.1080%2f01496395.2017.1310235&partnerID=40&md5=31667a1b8a31059ae73c1c93295a70d1"
"36442701300;7005493072;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922601878&doi=10.1007%2f978-94-007-1700-8_9&partnerID=40&md5=ef16dafaf24788f70b732857d664d957"
"7005143970;8925929900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57049120130&partnerID=40&md5=d7d18edeaec07a9672c82714abb617e6"
"7005493072;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53949086281&doi=10.1080%2f07366290802301358&partnerID=40&md5=93ecc7e612ddd38ac3966f409401aef5"
"7201823033;23486403300;7003999464;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-40749116019&doi=10.1002%2fapp.27422&partnerID=40&md5=0c1bf2b6096d1cc664b0264e0d0c82ae"
"6506083597;7402367396;7003322094;55436202900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846460796&doi=10.1016%2fj.matchemphys.2006.08.001&partnerID=40&md5=976bd4b4f29ace0c120afc0171d2ab7b"
"56278148600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-35649000435&doi=10.1016%2fj.reactfunctpolym.2007.07.032&partnerID=40&md5=45a69a05d8198f130c714ab7cdf7e9af"
"7005143970;8925929900;7004122860;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746488156&partnerID=40&md5=d11b520679c457175b38c94d85f04670"
"6506231425;7005143970;7004122860;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645086877&doi=10.1007%2fs10562-005-0006-6&partnerID=40&md5=e4a218b1f7b37da266567975027f45bb"
"8925929900;6506231425;7005143970;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-27144549245&doi=10.1016%2fj.reactfunctpolym.2004.10.006&partnerID=40&md5=453016d3fa4357ba0802b5f9ab44e183"
"56278148600;7005143970;8854133600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-27144463440&doi=10.1016%2fj.reactfunctpolym.2004.11.010&partnerID=40&md5=184f56c20d777879b7350e5208a5ecf1"
"56278148600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10444282121&doi=10.1016%2fj.reactfunctpolym.2004.10.002&partnerID=40&md5=76df8d1b27f1e0a610d703c0eb3a5de4"
"7005143970;56278148600;6506231425;7004122860;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-7544238055&doi=10.1016%2fj.reactfunctpolym.2004.06.009&partnerID=40&md5=2854d004e67831506895fd038c0970c6"
"6506231425;7005143970;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942661981&doi=10.1016%2fj.cattod.2004.03.033&partnerID=40&md5=16960c8dba19a7833a7ac5d2b14e6509"
"7004865083;7403597186;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2342655638&partnerID=40&md5=b7d486639f7fa576b6ad1729d92e1450"
"6701838730;6602306052;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542476063&doi=10.1016%2fS0141-3910%2803%2900234-9&partnerID=40&md5=b8c3afcfb5476c9a00fc6f2baf5cab32"
"6506231425;7005143970;56278148600;7004122860;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041379469&doi=10.1016%2fS0032-3861%2803%2900582-2&partnerID=40&md5=438d340eab4bfa48d3484b961fb21f95"
"6507910953;6603245888;6701475188;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037369055&doi=10.1016%2fS0032-3861%2803%2900033-8&partnerID=40&md5=47e2b5ef26c180c43363f5f5f362a85a"
"56278148600;7005143970;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036833203&doi=10.1016%2fS0014-3057%2802%2900129-5&partnerID=40&md5=beea5378c1b8d999fce197a20b2acec3"
"7102103268;13005827200;23108331400;7006400072;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037136454&doi=10.1002%2fapp.10876&partnerID=40&md5=a9e01c49175f4bfc08ee3d200889c8c0"
"7102103268;7004068107;6506350236;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037138337&doi=10.1002%2fapp.10455&partnerID=40&md5=3245f0c418f8c00b8b28e7343c02365b"
