Author(s) ID,Link
"57190394249;23091578700;57214717480;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078486206&doi=10.1186%2fs40648-019-0153-y&partnerID=40&md5=3203af4dcb672ca77e580c4c35dd8422"
"6602450202;57215698442;57215684609;57216085017;53880653000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081651844&doi=10.1016%2fj.optlastec.2020.106199&partnerID=40&md5=3f6c96aa09c285602879f25c4576c0fd"
"57206665886;57189270902;57206662342;57205688879;55332536900;57189267051;57193761650;7203007412;7005119089;7102474754;37027652700;7102231043;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082803931&doi=10.1016%2fj.foodres.2020.109168&partnerID=40&md5=40c12196dbe96ed8b9e6eeac3254837d"
"56515005700;6701571938;37062992300;57215219757;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080147454&doi=10.1016%2fj.optcom.2020.125341&partnerID=40&md5=7b4673a5dff5d9bdd26476f42b43ed49"
"56893057100;55241842200;57210560919;56188482100;16025926200;7004446931;7401750425;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083335894&doi=10.1364%2fOE.390922&partnerID=40&md5=30d79db1d4c86cbed54e37342f1b9c3d"
"57215897304;57115576700;57196440347;6508307378;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082294300&doi=10.1021%2facs.jpcc.9b11923&partnerID=40&md5=b4338cba671d77717c906ea32d491b9b"
"55389214000;57208243159;57215428035;35810963300;57215426753;8243686100;56002712500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080863185&doi=10.1364%2fAO.385632&partnerID=40&md5=e029d440038d87f5d98622f6bca47e29"
"16310494400;25629854800;56457731800;52563200900;57202917838;55201715500;36118189100;7004140097;6701841339;6506766433;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075170956&doi=10.1177%2f0960327119888261&partnerID=40&md5=f7e8b4b6f9dd3258847c08df1aa5b22a"
"36902814200;45662211000;7004405616;7003626585;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072529436&doi=10.1016%2fj.optcom.2019.124530&partnerID=40&md5=523241b7e870d4c075f571c550f39ebe"
"57204113328;55756826400;57194513755;57208170584;36616117700;7402639441;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079553279&doi=10.1088%2f1361-6463%2fab60eb&partnerID=40&md5=816728059ee44e9b31a7a1fb5c8f96dc"
