Authors,Link
"Gao X., Fang X., Tang J., Fang D., Wang D., Wang X., Chen R., Xu S., Wei Z.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078510851&doi=10.1016%2fj.ssc.2020.113837&partnerID=40&md5=206a40165a080ff1de54181c0b96133b"
"Suo F., Tong J., Zhang D.H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077359809&doi=10.1109%2fJQE.2019.2952388&partnerID=40&md5=312d1969e4049ba92534a1f8b68511d9"
"Parakh M., Johnson S., Pokharel R., Ramaswamy P., Nalamati S., Li J., Iyer S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073183110&doi=10.1088%2f1361-6528%2fab47aa&partnerID=40&md5=2ec166fe4a09b775fe5244669e38c628"
"Rogowicz E., Linhart W.M., Syperek M., Kopaczek J., Delorme O., Cerutti L., Luna E., Tournié E., Rodriguez J.-B., Kudrawiec R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082240476&doi=10.1088%2f1361-6641%2fab6017&partnerID=40&md5=3301467e27834e2a82d45dc6a7fc1ad3"
"Tiutiunnyk A., Pérez-Quintana I., Laroze D., Duque C.A., Mora-Ramos M.E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076820142&doi=10.1007%2fs00339-019-3214-4&partnerID=40&md5=629dd06e522a365a8b9117781c9322e8"
"Casallas-Moreno Y.L., Villa-Martínez G., Ramírez-López M., Rodríguez-Fragoso P., Gómez-Herrera M.L., Pérez-González M., Escobosa-Echavarría A., Tomás S.A., Herrera-Pérez J.L., Mendoza-Álvarez J.G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070372503&doi=10.1016%2fj.jallcom.2019.151690&partnerID=40&md5=904bd50eb40a035971346c10643d3d97"
"Ciura L., Kolek A., Gomółka E., Murawski K., Kopytko M., Martyniuk P., Rogalski A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073207090&doi=10.1088%2f1361-6641%2fab3c02&partnerID=40&md5=1191cdce1d548449c192af5cca4d4edd"
"Chen X., Zhu L., Shao J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072599838&doi=10.1063%2f1.5111788&partnerID=40&md5=5cc17ce2eada81019a4f51768708c44d"
"Huang J., Chen B., Deng Z., Gu Y., Ma Y., Zhang J., Chen X., Shao J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072626222&doi=10.1088%2f1361-6641%2fab3539&partnerID=40&md5=d5a93803d7358ce4d5ca2a3ccbb94db9"
"Liu W.-S., Yang T.-K., Hsueh W.-J., Chyi J.-I., Huang T.-Y., Hsu M.-E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071691569&doi=10.1063%2f1.5097879&partnerID=40&md5=f6f1c2d3fbff6f44a2065fa5eea5c097"
"Kurka M., Dyksik M., Suomalainen S., Koivusalo E., Guina M., Motyka M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063381328&doi=10.1016%2fj.optmat.2019.03.036&partnerID=40&md5=a1fef7fa3b942ec401b29bb213a7c558"
"Chenini L., Aissat A., Vilcot J.P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063261458&doi=10.1016%2fj.spmi.2019.03.015&partnerID=40&md5=6ddc084e27925ac2949297f2a072c50d"
"Ryczko K., Sȩk G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057616035&doi=10.1016%2fj.optmat.2018.11.014&partnerID=40&md5=275f57c649ac57b34149a1416381dfb0"
"Ivanov S.V., Chernov M.Y., Solov'ev V.A., Brunkov P.N., Firsov D.D., Komkov O.S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058189996&doi=10.1016%2fj.pcrysgrow.2018.12.001&partnerID=40&md5=daed7926fea8d3fea61549278cd737b8"
"Sharma M., Ahmad E., Dev D., Li J., Reynolds C.L., Liu Y., Iyer S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056722373&doi=10.1088%2f1361-6528%2faae148&partnerID=40&md5=cd27df627950c355df4b2cd37bddf77d"
"Zhang Y., Shao F.-H., Yang C.-A., Xie S.-W., Huang S.-S., Yuan Y., Shang J.-M., Zhang Y., Xu Y.-Q., Ni H.-Q., Niu Z.-C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061776593&doi=10.1117%2f12.2521757&partnerID=40&md5=0fb8bc4e40d1c6534020bc9d35375982"
"Karaliunas M., Pagalys J., Jakštas V., Norkus R., Urbanowicz A., Devenson J., Butkute R., Udal A., Valušis G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075088352&doi=10.1117%2f12.2528428&partnerID=40&md5=fc16094393a8abfe976bc2d6d6361869"
"Komkov O.S., Firsov D.D., Andreev A.D., Chernov M.Y., Solov'Ev V.A., Ivanov S.V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067784282&doi=10.7567%2f1347-4065%2fab180e&partnerID=40&md5=7589e88042b5725362f0112aa63caf8a"
"Kurka M., Badura M., Dyksik M., Ryczko K., Kopaczek J., Misiewicz J., Ściana B., Tłaczała M., Sankowska I., Pierściński K., Motyka M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078338097&doi=10.1088%2f2399-6528%2fab5e56&partnerID=40&md5=ce82f3ccea081095304b0e656c9cbcb0"
"Dyksik M., Motyka M., Kurka M., Misiewicz J., Pfenning A., Hartmann F., Weih R., Worschech L., Höfling S., Sęk G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058975973&doi=10.12693%2fAPhysPolA.134.962&partnerID=40&md5=f012226d47efbfd26fb0b13ba9ebbb27"
"Park M.J., Park K., Ko H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045438155&doi=10.1016%2fj.apsusc.2018.04.085&partnerID=40&md5=8dda154685d00bf11b491a1b42aa16d2"
"Krishnamurthy S., Yu Z.G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043979468&doi=10.1063%2f1.5004176&partnerID=40&md5=f3355d3be982d2eb3fd7aa9d412d674c"
"Yang T., Ge J.-C., Li X.-A., Stantchev R.I., Zhu Y.-Y., Zhou Y., Huang W.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033787425&doi=10.1016%2fj.optcom.2017.10.040&partnerID=40&md5=5ef2e5c973d572ef43895b66fe33b2dc"
"Komkov O.S., Firsov D.D., Chernov M.Yu., Solov'Ev V.A., Sitnikova A.A., Kop'Ev P.S., Ivanov S.V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040653111&doi=10.1088%2f1361-6463%2faaa25d&partnerID=40&md5=549d82256cb6f3a7f9d6e43f692962af"
"Ryczko K., Sȩk G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058229763&doi=10.1117%2f12.2324642&partnerID=40&md5=e47804aa021614d3fa763f62d84b7cd1"
"Gao F., Chen N., Huang D., Heller E.R., LeVan P.D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058241915&doi=10.1117%2f12.2324351&partnerID=40&md5=814236df4fa14662601b5a1f0632d7d8"
"Ciura Ł., Kolek A., Jureńczyk J., Czuba K., Jasik A., Sankowska I., Kaniewski J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039798931&doi=10.1007%2fs11082-017-1308-9&partnerID=40&md5=c22a60287f3edc796fd4d0cfd018d87d"
"Ryczko K., Sȩk G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039987330&doi=10.7567%2fAPEX.11.012703&partnerID=40&md5=022b68f63e7cdd96c446f5dd01bb10c5"
"Wang Y., Sheng X., Guo Q., Li X., Wang S., Fu G., Mazur Y.I., Maidaniuk Y., Ware M.E., Salamo G.J., Liang B., Huffaker D.L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016565103&doi=10.1186%2fs11671-017-1998-8&partnerID=40&md5=cfba826809d0fb6828332508b2badfee"
"Dyksik M., Motyka M., Kurka M., Ryczko K., Misiewicz J., Schade A., Kamp M., Höfling S., Sȩk G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039068844&doi=10.7567%2fJJAP.56.110301&partnerID=40&md5=419b0c6ef01e61462d3bda3bc251662c"
"Gao X., Zhao F., Fang X., Tang J., Fang D., Wang D., Wang X., Wei Z., Chen R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032724058&doi=10.1088%2f1361-6641%2faa8d08&partnerID=40&md5=e37a693f42b18ebfbaede28eb9f82c0b"
"Ciura Ł., Kolek A., Wróbel J., Martyniuk P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028002753&doi=10.1109%2fICNF.2017.7986011&partnerID=40&md5=9216473adf944ad8742fabd9c254f1e8"
"Krishnamurthy S., Yu Z.G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020504023&doi=10.1063%2f1.4989564&partnerID=40&md5=df43fe90529b34aec5c88abd61284591"
"Chen N., Gray S., Hernandez-Rivera E., Huang D., Levan P.D., Gao F.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012281791&doi=10.1557%2fjmr.2017.46&partnerID=40&md5=af88a23ef06cf8fe2139e5d401c74669"
"Ge X., Wang D., Gao X., Fang X., Niu S., Gao H., Tang J., Wang X., Wei Z., Chen R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013287801&doi=10.1002%2fpssr.201700001&partnerID=40&md5=8562de829d157a252d435d050a3b6234"
"Dyksik M., Motyka M., Weih R., Höfling S., Kamp M., Sęk G., Misiewicz J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009781784&doi=10.1007%2fs11082-017-0891-0&partnerID=40&md5=3576bef1097436e68911a48716c7d783"
