"uid";"code";"name";"country";"latt";"longt"
"87";"CGN";"Cologne";"Germany";"50.93545";"6.9665"
"88";"FAO";"Faro";"Portugal";"37.05846";"-7.974189999999999"
"89";"GDN";"Gdansk";"Poland";"54.36292";"18.60349"
"90";"INI";"Niš";"Serbia";"43.31807";"21.90116"
"91";"OHD";"Ohrid";"North Macedonia";"41.10568";"20.81543"
"92";"SCV";"Suceava";"Romania";"47.61906";"26.08144"
"93";"TZL";"Tuzla";"Bosnia and Herzegovina";"44.53669";"18.68336"
"94";"VLC";"Valencia";"Spain";"39.4769";"-0.37475"
"95";"VAR";"Varna (Black Sea)";"Bulgaria";"43.21661";"27.90171"
"96";"OTP";"Bucharest";"Romania";"44.438320000000004";"26.094910000000002"
"97";"CRA";"Craiova";"Romania";"44.32368";"23.79982"
"98";"IAS";"Iasi";"Romania";"47.15418";"27.57955"
"99";"LJU";"Ljubljana";"Slovenia";"46.06461";"14.5062"
"100";"SBZ";"Sibiu";"Romania";"45.79261";"24.15065"
"101";"TSR";"Timisoara";"Romania";"45.75273";"21.23693"
"102";"MLH";"Basel-Mulhouse-Freiburg";"Switzerland";"47.59967";"7.532089999999998"
"103";"HHN";"Frankfurt Hahn";"Germany";"50.09746";"8.50038"
"104";"FDH";"Friedrichshafen";"Germany";"47.67345";"9.46851"
"105";"FKB";"Karlsruhe/Baden-Baden";"Germany";"49.00942";"8.40558"
"106";"VXO";"Vaxjo";"Sweden";"56.88554";"14.80591"
"107";"KTW";"Katowice";"Poland";"50.24147";"18.99498"
"108";"BTS";"Bratislava";"Slovakia";"48.16369";"17.11894"
"109";"CPH";"Copenhagen";"Denmark";"55.68189";"12.5458"
"110";"GVA";"Geneva";"Switzerland";"46.20472";"6.14231"
"111";"NUE";"Nuremberg";"Germany";"49.4741";"11.1296"
"112";"HAM";"Hamburg";"Germany";"53.56406";"10.00991"
"113";"SPU";"Split";"Croatia";"43.52466";"16.45299"
"114";"BEG";"Belgrade";"Serbia";"44.7812";"20.46718"
"115";"KRK";"Kraków";"Poland";"50.0516";"19.95653"
"116";"PRG";"Prague";"Czech Republic";"50.06899";"14.45367"
"117";"TLL";"Tallinn";"Estonia";"59.39166";"24.71607"
"118";"TKU";"Turku";"Finland";"60.45553";"22.26819"
"119";"KUN";"Kaunas";"Lithuania";"54.89692";"23.91716"
"120";"GNB";"Grenoble";"France";"45.17929";"5.72215"
"121";"LYS";"Lyon -Saint-Exupéry";"France";"45.75796";"4.83038"
"122";"POZ";"Poznan";"Poland";"52.40676";"16.90868"
"123";"RIX";"Riga";"Latvia";"56.95656999999999";"24.12351"
"124";"WRO";"Wroclaw";"Poland";"51.11411";"17.011960000000002"
"125";"SZY";"Olsztyn-Mazury";"Poland";"53.76961";"20.47278"
"126";"PLQ";"Palanga – Klaipeda";"Lithuania";"55.71865";"21.15495"
"127";"LEJ";"Leipzig";"Germany";"51.33997";"12.37683"
"128";"CIA";"Rome Ciampino";"Italy";"41.80186";"12.59794"
"129";"TRN";"Turin";"Italy";"45.07306";"7.68703"
"130";"BGO";"Bergen";"Norway";"60.3734";"5.31824"
"131";"TRF";"Oslo Sandefjord Torp";"Norway";"59.93965";"10.75257"
"132";"AES";"Alesund";"Norway";"62.4651";"6.23295"
"133";"SVG";"Stavanger";"Norway";"58.95864";"5.72029"
"134";"BFS";"Belfast";"United Kingdom";"54.58455";"-5.93432"
"135";"SEN";"London Southend";"United Kingdom";"51.36549";"-0.09932"
"136";"RAK";"Marrakesh";"Morocco";"31.63278";"-7.99675"
"137";"LUZ";"Lublin";"Poland";"51.23976";"22.55012"
"138";"SZZ";"Szczecin";"Poland";"53.42676";"14.57075"
"139";"BOO";"Bodø";"Norway";"67.28784";"14.4585"
"140";"HAU";"Haugesund";"Norway";"59.40388000000001";"5.29047"
"141";"MOL";"Molde";"Norway";"62.74862";"7.17461"
"142";"TOS";"Tromso";"Norway";"69.66655";"18.95799"
"143";"TRD";"Trondheim";"Norway";"63.40551";"10.39659"
"144";"ABZ";"Aberdeen";"United Kingdom";"57.15218";"-2.1349"
"145";"KRS";"Kristiansand";"Norway";"58.157475";"8.020957"
"146";"SFT";"Skellefteå";"Sweden";"64.75663";"20.9681"
"147";"BRS";"Bristol";"United Kingdom";"51.4716";"-2.56564"
"148";"FUE";"Fuerteventura (Canary Islands)";"Spain";"27.99219";"-15.49654"
"149";"SVQ";"Seville";"Spain";"37.40017";"-6.03655"
"150";"ZAZ";"Zaragoza";"Spain";"41.64853";"-0.8940799999999999"
"151";"CND";"Constanta";"Romania";"44.18614";"28.57538"
"152";"SUJ";"Satu Mare";"Romania";"47.78448";"22.87289"
"153";"KSC";"Kosice";"Slovakia";"48.71514000000001";"21.24683"
"154";"TAT";"Poprad-Tatry";"Slovakia";"49.05998";"20.29489"
"155";"LPA";"Gran Canaria";"Spain";"28.011470000000006";"-15.59449"
