Source,Target,Type,Id,Label,timeset,Weight
63,62,Directed,6215,,,1
65,62,Directed,6216,,,1
94,62,Directed,6217,,,1
8,95,Directed,6218,,,1
87,95,Directed,6219,,,1
19,95,Directed,6220,,,1
23,95,Directed,6221,,,1
112,95,Directed,6222,,,1
34,95,Directed,6223,,,1
36,95,Directed,6224,,,1
38,95,Directed,6225,,,1
75,95,Directed,6226,,,1
76,95,Directed,6227,,,1
74,95,Directed,6228,,,1
65,95,Directed,6229,,,1
80,95,Directed,6230,,,1
107,113,Directed,6231,,,1
38,113,Directed,6232,,,1
70,113,Directed,6233,,,1
114,34,Directed,6234,,,1
1,34,Directed,6235,,,1
85,34,Directed,6236,,,1
86,34,Directed,6237,,,1
73,34,Directed,6238,,,1
98,34,Directed,6239,,,1
107,34,Directed,6240,,,1
115,34,Directed,6241,,,1
32,34,Directed,6242,,,1
33,34,Directed,6243,,,1
38,34,Directed,6244,,,1
39,34,Directed,6245,,,1
61,34,Directed,6246,,,1
62,34,Directed,6247,,,1
95,34,Directed,6248,,,1
80,34,Directed,6249,,,1
82,34,Directed,6250,,,1
70,34,Directed,6251,,,1
81,34,Directed,6252,,,1
6,116,Directed,6253,,,1
96,116,Directed,6254,,,1
85,116,Directed,6255,,,1
32,116,Directed,6256,,,1
38,116,Directed,6257,,,1
96,83,Directed,6258,,,1
86,83,Directed,6259,,,1
89,83,Directed,6260,,,1
98,83,Directed,6261,,,1
115,83,Directed,6262,,,1
33,83,Directed,6263,,,1
62,83,Directed,6264,,,1
93,83,Directed,6265,,,1
80,83,Directed,6266,,,1
82,83,Directed,6267,,,1
70,83,Directed,6268,,,1
32,109,Directed,6269,,,1
33,109,Directed,6270,,,1
39,109,Directed,6271,,,1
61,109,Directed,6272,,,1
62,109,Directed,6273,,,1
32,117,Directed,6274,,,1
33,117,Directed,6275,,,1
89,118,Directed,6276,,,1
119,118,Directed,6277,,,1
115,118,Directed,6278,,,1
61,118,Directed,6279,,,1
70,118,Directed,6280,,,1
114,102,Directed,6281,,,1
96,102,Directed,6282,,,1
1,102,Directed,6283,,,1
86,102,Directed,6284,,,1
73,102,Directed,6285,,,1
90,102,Directed,6286,,,1
91,102,Directed,6287,,,1
55,102,Directed,6288,,,1
61,102,Directed,6289,,,1
62,102,Directed,6290,,,1
93,102,Directed,6291,,,1
70,102,Directed,6292,,,1
114,7,Directed,6293,,,1
96,7,Directed,6294,,,1
1,7,Directed,6295,,,1
86,7,Directed,6296,,,1
73,7,Directed,6297,,,1
90,7,Directed,6298,,,1
91,7,Directed,6299,,,1
55,7,Directed,6300,,,1
61,7,Directed,6301,,,1
62,7,Directed,6302,,,1
93,7,Directed,6303,,,1
70,7,Directed,6304,,,1
1,11,Directed,6305,,,1
38,120,Directed,6306,,,1
70,120,Directed,6307,,,1
96,121,Directed,6308,,,1
86,121,Directed,6309,,,1
70,121,Directed,6310,,,1
96,47,Directed,6311,,,1
1,47,Directed,6312,,,1
115,47,Directed,6313,,,1
62,47,Directed,6314,,,1
80,47,Directed,6315,,,1
82,47,Directed,6316,,,1
1,52,Directed,6317,,,1
70,52,Directed,6318,,,1
114,74,Directed,6319,,,1
96,74,Directed,6320,,,1
85,74,Directed,6321,,,1
86,74,Directed,6322,,,1
97,74,Directed,6323,,,1
73,74,Directed,6324,,,1
89,74,Directed,6325,,,1
98,74,Directed,6326,,,1
32,74,Directed,6327,,,1
122,74,Directed,6328,,,1
61,74,Directed,6329,,,1
62,74,Directed,6330,,,1
101,74,Directed,6331,,,1
95,74,Directed,6332,,,1
82,74,Directed,6333,,,1
3,32,Directed,6334,,,1
5,32,Directed,6335,,,1
6,32,Directed,6336,,,1
8,32,Directed,6337,,,1
10,32,Directed,6338,,,1
14,32,Directed,6339,,,1
1,32,Directed,6340,,,1
87,32,Directed,6341,,,1
109,32,Directed,6342,,,1
19,32,Directed,6343,,,1
23,32,Directed,6344,,,1
103,32,Directed,6345,,,1
89,32,Directed,6346,,,1
112,32,Directed,6347,,,1
28,32,Directed,6348,,,1
105,32,Directed,6349,,,1
107,32,Directed,6350,,,1
115,32,Directed,6351,,,1
34,32,Directed,6352,,,1
75,32,Directed,6353,,,1
44,32,Directed,6354,,,1
46,32,Directed,6355,,,1
74,32,Directed,6356,,,1
77,32,Directed,6357,,,1
122,32,Directed,6358,,,1
116,32,Directed,6359,,,1
123,32,Directed,6360,,,1
58,32,Directed,6361,,,1
117,32,Directed,6362,,,1
67,32,Directed,6363,,,1
78,32,Directed,6364,,,1
80,32,Directed,6365,,,1
82,32,Directed,6366,,,1
70,32,Directed,6367,,,1
124,32,Directed,6368,,,1
1,8,Directed,6369,,,1
85,8,Directed,6370,,,1
86,8,Directed,6371,,,1
32,8,Directed,6372,,,1
33,8,Directed,6373,,,1
39,8,Directed,6374,,,1
49,8,Directed,6375,,,1
61,8,Directed,6376,,,1
93,8,Directed,6377,,,1
95,8,Directed,6378,,,1
89,84,Directed,6379,,,1
33,84,Directed,6380,,,1
61,84,Directed,6381,,,1
80,84,Directed,6382,,,1
97,87,Directed,6383,,,1
89,87,Directed,6384,,,1
107,87,Directed,6385,,,1
32,87,Directed,6386,,,1
33,87,Directed,6387,,,1
61,87,Directed,6388,,,1
93,87,Directed,6389,,,1
95,87,Directed,6390,,,1
80,87,Directed,6391,,,1
114,19,Directed,6392,,,1
96,19,Directed,6393,,,1
1,19,Directed,6394,,,1
85,19,Directed,6395,,,1
86,19,Directed,6396,,,1
73,19,Directed,6397,,,1
89,19,Directed,6398,,,1
98,19,Directed,6399,,,1
107,19,Directed,6400,,,1
31,19,Directed,6401,,,1
32,19,Directed,6402,,,1
33,19,Directed,6403,,,1
39,19,Directed,6404,,,1
90,19,Directed,6405,,,1
91,19,Directed,6406,,,1
125,19,Directed,6407,,,1
126,19,Directed,6408,,,1
55,19,Directed,6409,,,1
123,19,Directed,6410,,,1
100,19,Directed,6411,,,1
61,19,Directed,6412,,,1
62,19,Directed,6413,,,1
101,19,Directed,6414,,,1
68,19,Directed,6415,,,1
69,19,Directed,6416,,,1
93,19,Directed,6417,,,1
95,19,Directed,6418,,,1
80,19,Directed,6419,,,1
82,19,Directed,6420,,,1
124,19,Directed,6421,,,1
1,24,Directed,6422,,,1
33,24,Directed,6423,,,1
62,24,Directed,6424,,,1
86,103,Directed,6425,,,1
32,103,Directed,6426,,,1
39,103,Directed,6427,,,1
100,103,Directed,6428,,,1
61,103,Directed,6429,,,1
101,103,Directed,6430,,,1
93,103,Directed,6431,,,1
61,104,Directed,6432,,,1
93,104,Directed,6433,,,1
89,112,Directed,6434,,,1
32,112,Directed,6435,,,1
33,112,Directed,6436,,,1
61,112,Directed,6437,,,1
95,112,Directed,6438,,,1
114,27,Directed,6439,,,1
96,27,Directed,6440,,,1
1,27,Directed,6441,,,1
33,27,Directed,6442,,,1
61,27,Directed,6443,,,1
114,105,Directed,6444,,,1
32,105,Directed,6445,,,1
100,105,Directed,6446,,,1
61,105,Directed,6447,,,1
101,105,Directed,6448,,,1
93,105,Directed,6449,,,1
33,127,Directed,6450,,,1
114,75,Directed,6451,,,1
96,75,Directed,6452,,,1
85,75,Directed,6453,,,1
86,75,Directed,6454,,,1
32,75,Directed,6455,,,1
33,75,Directed,6456,,,1
90,75,Directed,6457,,,1
91,75,Directed,6458,,,1
53,75,Directed,6459,,,1
55,75,Directed,6460,,,1
100,75,Directed,6461,,,1
61,75,Directed,6462,,,1
62,75,Directed,6463,,,1
92,75,Directed,6464,,,1
101,75,Directed,6465,,,1
68,75,Directed,6466,,,1
69,75,Directed,6467,,,1
93,75,Directed,6468,,,1
95,75,Directed,6469,,,1
96,111,Directed,6470,,,1
86,111,Directed,6471,,,1
33,111,Directed,6472,,,1
100,111,Directed,6473,,,1
61,111,Directed,6474,,,1
62,111,Directed,6475,,,1
101,111,Directed,6476,,,1
1,3,Directed,6477,,,1
85,3,Directed,6478,,,1
107,3,Directed,6479,,,1
32,3,Directed,6480,,,1
33,3,Directed,6481,,,1
38,3,Directed,6482,,,1
80,3,Directed,6483,,,1
82,3,Directed,6484,,,1
1,17,Directed,6485,,,1
80,17,Directed,6486,,,1
70,17,Directed,6487,,,1
1,28,Directed,6488,,,1
32,28,Directed,6489,,,1
1,57,Directed,6490,,,1
1,67,Directed,6491,,,1
32,67,Directed,6492,,,1
33,67,Directed,6493,,,1
38,67,Directed,6494,,,1
80,67,Directed,6495,,,1
1,71,Directed,6496,,,1
1,56,Directed,6497,,,1
89,56,Directed,6498,,,1
107,56,Directed,6499,,,1
115,56,Directed,6500,,,1
38,56,Directed,6501,,,1
123,56,Directed,6502,,,1
80,56,Directed,6503,,,1
82,56,Directed,6504,,,1
70,56,Directed,6505,,,1
124,56,Directed,6506,,,1
96,22,Directed,6507,,,1
1,22,Directed,6508,,,1
123,22,Directed,6509,,,1
62,22,Directed,6510,,,1
80,22,Directed,6511,,,1
82,22,Directed,6512,,,1
70,22,Directed,6513,,,1
96,65,Directed,6514,,,1
1,65,Directed,6515,,,1
86,65,Directed,6516,,,1
73,65,Directed,6517,,,1
98,65,Directed,6518,,,1
107,65,Directed,6519,,,1
115,65,Directed,6520,,,1
38,65,Directed,6521,,,1
123,65,Directed,6522,,,1
100,65,Directed,6523,,,1
62,65,Directed,6524,,,1
101,65,Directed,6525,,,1
95,65,Directed,6526,,,1
80,65,Directed,6527,,,1
82,65,Directed,6528,,,1
70,65,Directed,6529,,,1
96,0,Directed,6530,,,1
1,0,Directed,6531,,,1
107,0,Directed,6532,,,1
80,0,Directed,6533,,,1
70,0,Directed,6534,,,1
96,6,Directed,6535,,,1
1,6,Directed,6536,,,1
86,6,Directed,6537,,,1
89,6,Directed,6538,,,1
98,6,Directed,6539,,,1
115,6,Directed,6540,,,1
32,6,Directed,6541,,,1
38,6,Directed,6542,,,1
116,6,Directed,6543,,,1
123,6,Directed,6544,,,1
62,6,Directed,6545,,,1
101,6,Directed,6546,,,1
80,6,Directed,6547,,,1
70,6,Directed,6548,,,1
124,6,Directed,6549,,,1
96,10,Directed,6550,,,1
1,10,Directed,6551,,,1
85,10,Directed,6552,,,1
86,10,Directed,6553,,,1
97,10,Directed,6554,,,1
98,10,Directed,6555,,,1
115,10,Directed,6556,,,1
32,10,Directed,6557,,,1
62,10,Directed,6558,,,1
92,10,Directed,6559,,,1
101,10,Directed,6560,,,1
68,10,Directed,6561,,,1
70,10,Directed,6562,,,1
96,16,Directed,6563,,,1
1,16,Directed,6564,,,1
98,16,Directed,6565,,,1
107,16,Directed,6566,,,1
115,16,Directed,6567,,,1
38,16,Directed,6568,,,1
62,16,Directed,6569,,,1
80,16,Directed,6570,,,1
70,16,Directed,6571,,,1
1,44,Directed,6572,,,1
115,44,Directed,6573,,,1
32,44,Directed,6574,,,1
91,44,Directed,6575,,,1
53,44,Directed,6576,,,1
61,44,Directed,6577,,,1
80,44,Directed,6578,,,1
82,44,Directed,6579,,,1
96,76,Directed,6580,,,1
85,76,Directed,6581,,,1
86,76,Directed,6582,,,1
97,76,Directed,6583,,,1
89,76,Directed,6584,,,1
98,76,Directed,6585,,,1
107,76,Directed,6586,,,1
62,76,Directed,6587,,,1
92,76,Directed,6588,,,1
101,76,Directed,6589,,,1
68,76,Directed,6590,,,1
95,76,Directed,6591,,,1
70,76,Directed,6592,,,1
96,46,Directed,6593,,,1
1,46,Directed,6594,,,1
32,46,Directed,6595,,,1
62,46,Directed,6596,,,1
80,46,Directed,6597,,,1
70,46,Directed,6598,,,1
96,77,Directed,6599,,,1
32,77,Directed,6600,,,1
68,77,Directed,6601,,,1
